"","id","Between_Pointing","Within_Pointing"
"166","Utah_275",50.566167781,26.193014450875
"167","Utah_276",46.4947604393906,35.6264071101667
"168","Utah_278",47.595378208,35.9029751555833
"169","Utah_279",50.609860613125,26.4114823026667
"170","Utah_280",63.7235573265937,37.1281558588333
"171","Utah_281",60.8367266077813,31.2939016695417
"172","Utah_282",53.9763025692188,22.186239789
"173","Utah_283",51.988584417,28.8556298803333
"174","Utah_284",47.2171745388438,28.1505292785417
"175","Utah_285",58.32512371525,27.5573228208333
"176","Utah_286",70.6360934056875,39.7195739106667
"177","Utah_287",37.3115550759375,14.7219203196667
"178","Utah_288",26.260357321375,21.1162071726667
"179","Utah_289",29.92167878675,17.3294789921667
"180","Utah_290",57.3423188304375,21.9820131667917
"181","Utah_291",63.0593812725625,51.4957226477917
"182","Utah_292",54.0664246465,62.9714903031667
"183","Utah_293",17.4479348773438,13.801129154375
"184","Utah_294",40.955921834125,31.8097909239583
"185","Utah_295",29.089339935625,21.8244852827917
"186","Utah_296",50.0407468152187,49.8416073917083
"187","Utah_297",21.7253507563438,6.92664256895833
"188","Utah_298",51.7624613000625,51.945351587
"189","Utah_299",42.6478363351562,20.2612222063333
"190","Utah_300",40.32836538175,12.1802461604167
"191","Utah_301",39.4884362366562,35.9718398537083
"192","Utah_303",42.1470339467812,27.642293348
"193","Utah_304",43.4406354996875,26.9548365241667
"194","Utah_305",17.14724376475,6.54484701958333
"195","Utah_306",32.84370629225,10.1872181730833
"196","Utah_307",54.7827781320312,16.2268174968333
"197","Utah_308",24.2237143288437,29.29108816125
"198","Utah_309",24.7575018066875,30.1289077109583
"199","Utah140",52.4198306877812,31.6127293004167
