,Unnamed: 0,id,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Fav,FavPpl,FavActivity,UStotal,UTtotal,UTrural,UTurban,UTdist,SBtotal,Orient,Route,SA,BFExtraverted,BFAgreeableness,BFConscient,BFEmoStabil,BFOpennness,SOIbehavior,SOIattitude,SOIdesire,SOItotal,ATOTpleasure,ATOTnopleasure,Q1,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,Map,WithinRtPt,BetweenRtPt,WithinRtPtAllo,BetweenRtPtAllo,WithinDist,BetweenDist,date,MRT,PSAS
20,21,Utah_123,3,3,1,20,Male,Caucasian,0,2,Oregon,My girlfriend.,"Explore, see friends and family, and go to the beach.",34,,,,,6.2,4.36363636363636,3.6666666666666696,1.25,5.0,6.5,5.0,6.0,6.0,1.33333333333333,8.66666666666667,3.6666666666666696,4.55555555555556,6.0,1.4,1,6,3,1,1,2,3,2,1,3,5,4,5,2,5,2,2,1,2,4,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,4,4,4,2,2,3,3,1,276.339744856091,22.87508675950866,48.91507201579065,63.844751462370795,64.8105015973034,89.1024554341139,108.776221734706,2017-09-01 11:41:29 -0700,36.0,6.25
21,22,Utah_124,2,6,1,18,Female,Caucasian,0,0,the mountains,family,"relax, art, sleep, explore, hike",24,,,,,4.2,3.54545454545455,4.83333333333333,3.0,1.5,4.5,6.0,3.0,6.0,1.0,1.0,3.0,1.6666666666666698,4.4,4.8,5,3,2,1,1,2,1,3,1,5,5,4,5,2,4,4,4,4,4,1,2,3,3,4,3,5,4,4,2,4,4,1,1,4,4,2,3,1,1,4,4,2,2,80.10678986506079,26.570120819693948,27.187062452396482,58.7143330970074,53.862401698562294,51.9141066413301,81.0791759728733,2017-09-01 11:54:47 -0700,50.0,4.25
22,23,Utah_125,3,6,1,20,Female,Caucasian,0,0,My cabin,"Family, friends, self.","Hike, climb, bike, fish, explore",15,,,,,4.4,3.45454545454545,3.0,1.75,2.5,4.5,4.0,5.0,7.0,2.3333333333333304,5.0,2.6666666666666696,3.3333333333333304,4.2,2.6,4,2,3,2,2,2,5,3,1,2,5,3,5,2,5,3,1,1,2,4,5,5,4,4,3,4,4,4,4,4,4,1,5,5,5,4,2,2,1,2,2,1,2,144.506062367614,40.41304825633736,36.52683143872527,55.1041580630018,70.0223165473788,77.27014167433471,89.2306051554879,2017-09-01 12:34:49 -0700,22.0,3.75
23,24,Utah_126,3,3,1,16,Female,Caucasian,0,2,coffee shop,friends,relax and talk,12,,,,,4.8,3.0,2.3333333333333304,3.0,1.0,2.0,7.0,5.5,4.0,1.33333333333333,4.33333333333333,1.33333333333333,2.3333333333333304,4.8,1.6,6,5,3,1,2,2,3,2,1,3,5,2,4,2,5,4,5,1,1,1,1,3,1,5,5,4,4,4,2,4,3,1,2,2,3,2,1,1,5,1,5,1,1,171.041167554408,22.619296433000464,40.03125153407003,65.3633785032544,87.9297999356061,91.8750476576973,161.043344110566,2017-09-01 13:40:16 -0700,60.0,5.5625
24,25,Utah_127,2,4,1,18,Female,Caucasian,0,0,Hawaii,Family,Relax,8,,,,,3.13333333333333,3.6363636363636402,4.16666666666667,3.875,2.5,4.5,6.0,4.5,6.0,1.0,3.3333333333333304,3.0,2.44444444444444,3.8,4.2,2,2,2,1,1,2,5,3,1,5,5,5,5,3,5,2,5,4,4,1,2,4,4,2,1,4,4,2,3,1,4,1,2,2,4,2,4,4,2,3,4,1,2,423.784801219438,38.122413589954846,70.1004410724118,44.55033498948689,93.11071540405389,85.25722038963809,141.35300661665002,2017-09-08 10:55:22 -0700,8.0,3.375
25,26,Utah_128,3,2,3,25,Male,Other,1,1,California,Friends,Beach,30,,,,,4.0,3.2727272727272703,3.8333333333333304,2.5,6.0,5.5,3.5,5.5,4.5,3.3333333333333304,6.66666666666667,2.6666666666666696,4.2222222222222205,3.8,2.2,3,4,5,2,2,2,3,3,1,4,4,4,4,5,4,3,4,2,4,4,2,4,4,4,4,4,4,3,4,2,4,1,2,3,5,3,4,4,2,4,2,2,1,362.923938864448,17.86809968385864,52.65236254165535,69.7678979473509,77.131082666046,47.031424705784204,61.7717243734646,2017-09-08 11:23:22 -0700,70.0,4.9375
26,27,Utah_129,2,4,1,18,Female,Asian/Pacific-Islanders,0,0,Home,Usually my parents and brother,I read or watch dramas,6,,,,,4.33333333333333,2.6363636363636402,4.33333333333333,2.25,2.5,6.0,6.5,4.5,4.5,1.0,1.6666666666666698,1.33333333333333,1.33333333333333,4.2,3.0,2,5,8,1,2,2,3,3,1,3,5,3,5,2,4,3,2,2,5,1,2,4,4,4,3,4,4,4,4,4,4,1,2,4,4,4,2,2,2,4,4,1,1,427.88114147831396,43.13135706707725,69.14832642470233,91.61300697956742,86.8332601594101,121.08548957853701,146.891623425832,2017-09-08 12:16:39 -0700,48.0,4.4375
27,28,Utah_130,3,6,1,19,Female,Caucasian,0,0,New York City,My family,Eat delicious food!,12,,,,,3.2666666666666697,2.3636363636363598,3.6666666666666696,3.625,2.0,3.5,6.5,3.0,3.5,1.33333333333333,5.66666666666667,5.66666666666667,4.2222222222222205,3.6,2.4,5,5,3,2,2,2,3,3,1,3,4,5,3,4,4,3,2,4,5,2,5,2,2,3,3,2,4,2,2,4,3,1,1,4,5,4,4,2,3,2,1,1,1,216.37915456182702,43.62403337437451,71.76324796942751,81.28527868475679,87.0529637789492,61.0659311402814,202.838583681939,2017-09-08 12:35:19 -0700,8.0,3.875
28,29,Utah_131,4,5,1,27,Female,Asian/Pacific-Islanders,0,0,outside,friends,walking,10,,,,,3.86666666666667,2.6363636363636402,3.3333333333333304,3.875,2.5,4.0,3.0,4.0,4.0,1.0,1.6666666666666698,1.0,1.22222222222222,3.2,3.8,3,1,1,2,1,2,5,4,1,5,4,4,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,2,2,3,2,2,2,4,4,4,4,4,3,4,2,2,2,202.516303619863,61.20291505243182,81.60847475453744,79.10623404109509,86.4814053786633,159.11741154309098,196.764541208034,2017-09-08 13:27:42 -0700,-16.0,3.875
29,30,Utah_132,3,5,2,21,Female,Caucasian,0,0,Downtown Salt Lake City,Close friends,"Talk, grab dinner, and/or watch a movie",9,,,,,4.8,3.18181818181818,3.0,1.25,5.5,5.0,2.0,1.0,6.5,1.0,6.33333333333333,1.6666666666666698,3.0,5.0,2.0,3,5,3,2,1,2,1,5,1,3,5,2,5,1,2,1,1,1,4,1,1,2,2,5,4,4,5,5,5,4,3,2,1,2,4,5,2,1,1,1,5,1,1,232.28233090081198,23.898170630347842,42.30302962221183,66.6301956793534,65.9308267459124,177.89036411902302,216.24781609645802,2017-09-08 13:33:50 -0700,38.0,4.625
