V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,id,intro,text1,Q1,Q3,text2,Q4,Q5,text3,Q9,Q10,Q11,Q12,Q13,Q14,text4,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,text5,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,LO1,LO2,LO3,LO4,LO5,L06,LO7,LO8,LO9,LO10,LO11,LR1,LR2,LR3,LR4,LR5,LR6,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11,SB12,SB13,SB14,SB15,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SOI1,SOI2,SOI3,SOI4,SOI5,SOI6,SOI7,SOI8,SOI9,ATOT1,ATOT2,ATOT3,ATOT4,ATOT5,ATOT6,ATOT7,ATOT8,ATOT9,ATOT10,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Map,US#1_1,US#1_2,US#1_3,US#1_4,US#1_5,US#1_6,US#1_7,US#1_8,US#1_9,US#1_10,US#1_11,US#1_12,US#1_13,US#1_14,US#1_15,US#1_16,US#1_17,US#1_18,US#1_19,US#1_20,US#1_21,US#1_22,US#1_23,US#1_24,US#1_25,US#1_26,US#1_27,US#1_28,US#1_29,US#1_30,US#1_31,US#1_32,US#1_33,US#1_34,US#1_35,US#1_36,US#1_37,US#1_38,US#1_39,US#1_40,US#1_41,US#1_42,US#1_43,US#1_44,US#1_45,US#1_46,US#1_47,US#1_48,US#1_49,US#1_50,Fav,FavPpl,FavActivity,Utah#1_1,Utah#1_2,Utah#1_3,Utah#1_4,Utah#1_5,Utah#1_6,Utah#1_7,Utah#1_8,Utah#1_9,Utah#1_10,Utah#1_11,Utah#1_12,Utah#1_13,Utah#1_14,Utah#1_15,Utah#1_16,Utah#1_17,Utah#1_18,Utah#1_19,Utah#1_20,Utah#1_21,Utah#1_22,Utah#1_23,Utah#1_24,Utah#1_25,Utah#1_26,Utah#1_27,Utah#1_28,Utah#1_29,Utah#1_30,Utah#1_31,Utah#1_32,Utah#1_33,Utah#1_34,Utah#1_35,Utah#1_36,Utah#1_37,Utah#1_38,Utah#1_39,Utah#1_40,Utah#1_41,LocationLatitude,LocationLongitude,LocationAccuracy
R_3k83c2z3elc9Mc5,Default Response Set,Anonymous,,,155.97.94.143,0,9/8/2017 11:46,9/8/2017 13:15,1,Utah_127,1,1,2,2,1,2,1,1,1,2,5,3,1,5,1,5,5,5,3,5,2,5,4,4,1,2,4,4,2,1,4,4,2,3,1,4,1,1,2,2,4,2,4,4,2,3,4,1,2,5,4,3,2,4,3,4,2,5,5,3,5,4,5,3,3,5,2,4,4,4,5,5,2,4,4,4,7,7,5,6,3,2,4,5,4,6,5,5,1,5,2,4,4,4,4,4,4,3,4,1,1,1,10,5,5,2,4,3,2,5,1,6,6,3,3,6,3,5,2,4,1,18,2,3,0,0,1,,,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,Hawaii,Family,Relax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3k4VkygVG5nz7Mx,Default Response Set,Anonymous,,,155.97.94.70,0,9/8/2017 11:49,9/8/2017 13:33,1,Utah_128,1,1,3,4,1,5,2,1,2,2,3,3,1,4,1,4,4,4,5,4,3,4,2,4,4,2,4,4,4,4,4,4,3,4,2,4,1,1,2,3,5,3,4,4,2,4,2,2,1,4,3,3,2,3,4,4,2,4,3,4,4,4,4,3,4,4,5,5,6,5,5,6,3,3,4,3,4,5,3,5,3,6,3,4,2,6,2,6,5,5,5,2,3,2,4,2,2,2,3,5,1,4,7,7,4,3,3,2,2,5,2,2,4,5,2,2,3,3,3,2,3,25,1,6,1,1,1,,,1,,1,1,,,,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,1,1,,,1,1,1,1,1,,,,1,1,,1,1,1,,1,,1,,1,California,Friends,Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3hEImUeZ1wjxRxl,Default Response Set,Anonymous,,,155.97.95.187,0,9/8/2017 14:01,9/8/2017 14:15,1,Utah_131,1,1,3,1,1,1,2,1,1,2,5,4,1,5,1,4,4,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,2,2,3,2,1,2,2,4,4,4,4,4,3,4,2,2,2,2,5,1,1,3,1,4,3,3,2,4,4,3,4,2,3,4,5,4,3,4,4,3,4,5,4,4,4,2,5,5,3,3,5,3,5,5,6,5,5,5,5,5,5,4,3,5,4,2,3,1,1,1,1,1,7,1,1,1,5,4,3,4,2,3,4,4,2,4,4,5,1,27,2,2,0,0,1,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,1,outside,friends,walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_2qecU6nWfcigEjg,Default Response Set,Anonymous,,,155.97.94.70,0,9/8/2017 13:34,9/8/2017 14:25,1,Utah_130,1,1,5,5,1,3,2,1,2,2,3,3,1,3,1,4,5,3,4,4,3,2,4,5,2,5,2,2,3,3,2,4,2,2,4,3,1,1,1,4,5,4,4,2,3,2,1,1,1,1,1,1,1,3,2,5,3,2,4,3,3,5,4,2,3,5,4,7,5,5,1,5,1,4,4,3,4,2,6,4,4,2,6,6,6,4,6,5,1,4,5,4,3,3,4,1,5,4,5,1,2,1,7,4,4,6,5,6,4,4,3,1,4,4,3,3,2,2,3,6,1,19,2,3,0,0,1,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,1,1,,,1,,,,,1,1,,,,,1,1,,,1,,,,New York City,My family,Eat delicious food!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_VRuNxFX6Wp264ZH,Default Response Set,Anonymous,,,155.97.94.143,0,9/8/2017 14:14,9/8/2017 14:32,1,Utah_129,1,1,2,5,1,8,1,1,2,2,3,3,1,3,1,5,3,5,2,4,3,2,2,5,1,2,4,4,4,3,4,4,4,4,4,4,1,1,2,4,4,4,2,2,2,4,4,1,1,1,4,4,1,1,1,5,1,5,2,4,4,5,5,2,5,5,5,5,2,5,2,3,5,2,5,1,2,2,6,6,2,3,2,6,2,6,6,6,1,3,5,4,2,2,2,2,2,1,3,1,1,1,3,1,9,1,1,2,4,5,1,4,3,6,2,3,3,5,2,4,1,18,2,2,0,0,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,Home,Usually my parents and brother,I read or watch dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_6QEjeWKqpJLSpFv,Default Response Set,Anonymous,,,155.97.94.143,0,9/8/2017 15:10,9/8/2017 15:21,1,Utah_132,1,1,3,5,1,3,2,1,1,2,1,5,1,3,1,5,2,5,1,2,1,1,1,4,1,1,2,2,5,4,4,5,5,5,4,3,1,2,1,2,4,5,2,1,1,1,5,1,1,5,5,5,1,4,1,4,1,5,2,2,4,2,5,1,1,5,5,7,1,4,5,3,7,3,7,1,3,1,1,6,1,6,4,2,7,6,3,6,6,1,1,1,2,1,2,1,1,1,1,1,1,1,9,5,5,2,2,1,6,4,1,2,6,6,1,2,3,4,3,5,2,21,2,3,0,0,1,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,1,1,,,1,Downtown Salt Lake City,Close friends,"Talk, grab dinner, and/or watch a movie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3npYNZQL0HelndD,Default Response Set,Anonymous,,,155.97.94.70,0,9/8/2017 15:56,9/8/2017 16:09,1,Utah_133,1,1,3,2,1,3,1,1,2,1,1,5,1,3,1,5,2,5,3,5,3,4,2,2,2,4,5,4,4,4,1,2,3,4,5,1,1,1,1,4,5,3,2,3,2,1,3,1,2,1,1,1,1,2,2,5,4,1,4,4,4,4,4,3,5,5,7,1,5,6,1,2,3,2,4,3,5,5,2,6,2,7,5,4,1,6,3,5,1,5,1,2,2,2,1,2,2,1,1,10,10,10,1,2,9,2,2,3,5,6,2,2,4,6,2,2,3,2,3,2,2,18,1,4,0,1,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,Home,Family,watch tv and talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_XEZUu1tOj48rDnX,Default Response Set,Anonymous,,,155.97.94.143,0,9/8/2017 16:38,9/8/2017 16:57,1,Utah_134,1,1,3,4,1,3,2,1,2,3,3,3,1,2,1,4,4,4,3,5,4,4,2,4,1,4,3,4,2,4,4,2,2,4,1,2,1,1,3,2,4,1,1,3,1,3,1,1,1,2,3,4,1,2,4,3,1,4,4,3,3,4,5,1,4,4,3,7,4,5,4,5,1,5,3,7,4,2,5,6,3,5,1,2,3,5,5,7,6,5,3,2,3,3,2,1,2,1,1,1,1,1,8,3,5,6,3,5,6,4,1,4,4,6,3,4,2,6,3,2,1,20,2,3,0,0,1,,,1,,,1,,,,,,1,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,1,Montana,Family,"Hike, Concerts, Eat out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3L0esxkPG9Q6icY,Default Response Set,Anonymous,,,155.97.94.70,0,9/11/2017 13:25,9/11/2017 14:36,1,Utah_135,1,1,5,5,1,3,2,1,1,1,3,2,1,3,1,5,3,5,3,3,4,3,2,4,5,4,5,5,4,4,4,5,4,5,4,2,1,1,1,2,4,1,2,2,1,3,1,1,1,5,3,4,1,5,1,5,4,3,3,5,4,2,5,1,1,4,6,1,6,7,5,3,4,2,5,1,3,5,1,7,1,6,4,6,2,6,4,4,5,6,5,3,3,2,1,1,3,4,3,8,8,9,9,9,1,7,5,5,5,6,1,2,6,4,3,3,3,3,3,6,1,20,1,3,0,0,1,,,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,California,"Family, friends",Go to the beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_32VXORYlGHog5D4,Default Response Set,Anonymous,,,155.97.95.187,0,9/15/2017 10:37,9/15/2017 11:04,1,Utah_137,1,1,2,6,1,4,2,1,1,2,1,4,1,4,1,5,3,5,4,5,3,3,1,1,1,4,5,5,5,4,4,4,4,4,2,1,1,1,4,5,4,1,1,3,1,2,5,2,2,2,5,3,4,3,4,5,1,5,5,5,4,5,5,5,5,4,6,3,2,7,5,2,7,1,7,1,2,1,5,7,1,5,4,5,4,6,4,7,3,5,3,2,1,1,1,2,2,4,4,1,1,1,5,2,5,6,2,2,5,5,1,1,5,6,1,2,2,4,2,5,2,21,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,"The Museum of Fine Arts, Cafe",Alone but occasionally with one friend,"Study, and chill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3CDe32xfcS5LbON,Default Response Set,Anonymous,,,155.97.94.70,0,9/15/2017 10:29,9/15/2017 11:40,1,Utah_136,1,1,6,8,1,8,2,1,1,2,3,2,1,5,1,5,3,4,4,1,1,4,2,4,4,3,3,3,5,2,1,4,2,4,2,2,1,1,1,4,5,4,1,1,4,4,1,1,1,1,4,1,1,1,1,5,1,5,2,5,5,5,5,4,4,5,2,4,1,1,1,4,3,6,2,7,7,1,2,1,1,2,5,5,1,6,2,3,1,5,2,4,3,4,4,2,4,5,4,2,6,7,9,9,1,1,2,1,5,5,1,3,6,3,4,3,4,6,3,5,1,19,2,3,0,0,1,,,1,,1,1,,,1,,1,,,1,,1,,,,,,,1,,,,1,1,,,,1,,1,,,,,,,1,,,1,,,,,,1,Colorado,Family/ Significant other,Explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_2aCurl3Ue1mgYSf,Default Response Set,Anonymous,,,155.97.95.187,0,9/15/2017 11:24,9/15/2017 11:43,1,Utah_138,1,1,3,4,1,2,1,1,1,1,3,2,1,2,1,4,3,3,4,4,5,4,2,4,2,5,4,4,5,4,5,5,4,4,4,1,1,1,4,2,3,1,1,1,3,4,4,1,4,5,2,3,3,5,3,5,1,3,4,2,4,3,4,1,3,4,5,6,5,6,5,4,2,1,5,5,5,3,2,6,5,7,1,6,2,6,2,7,6,6,2,3,4,1,2,4,1,1,3,2,1,1,1,1,9,1,1,1,5,3,3,3,5,5,2,5,2,3,3,3,5,18,1,3,0,2,1,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,1,,Mexico,My family,"Relax, beach, food.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_21EZqiojinqeufr,Default Response Set,Anonymous,,,155.97.94.70,0,9/15/2017 14:54,9/15/2017 15:13,1,Utah_139,1,1,3,3,1,4,1,1,1,1,3,3,1,3,1,3,3,2,2,2,4,5,2,5,4,3,2,3,4,3,1,4,4,4,2,2,1,1,3,2,3,4,2,2,1,2,2,2,1,1,1,1,1,2,1,3,2,3,2,2,3,4,5,2,5,5,5,3,2,4,1,3,4,3,6,5,5,2,5,6,3,5,2,7,2,4,3,5,1,5,1,3,4,3,4,3,3,3,2,2,7,7,5,1,9,1,2,1,4,2,2,2,5,2,4,4,1,3,3,6,2,20,2,3,0,0,1,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,1,1,1,1,1,,1,,1,Hawaii,Family,Relax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_1P4T2B4OOiXoyev,Default Response Set,Anonymous,,,155.97.94.70,0,9/18/2017 9:04,9/18/2017 9:24,1,utah140,1,1,2,3,1,2,1,1,1,2,1,5,1,4,1,4,3,4,3,4,5,4,4,2,1,1,3,4,2,2,1,5,4,1,1,3,1,2,2,3,5,3,1,2,2,5,5,4,5,3,3,3,1,2,4,5,2,3,4,5,5,5,5,5,5,5,3,7,3,4,2,4,7,4,7,7,5,1,5,4,5,4,5,7,7,5,4,7,5,4,2,4,4,3,4,4,3,5,5,1,1,1,5,2,7,6,1,7,4,5,3,5,6,4,4,4,4,6,2,3,1,18,1,2,0,0,1,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,The Marriott Library at the University of Utah.,"Mostly it's just me, but occasionally, once or twice a week, I go there with friends.","When I'm by myself, the library is my study haven. When with friends, it's probably to attend some event held by Crimson Gaming, or to get together for our weekly Dungeons and Dragons session.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3nl9HeetnCNPFUf,Default Response Set,Anonymous,,,155.97.95.187,0,9/19/2017 14:29,9/19/2017 15:08,1,UT_140,1,1,3,4,1,3,2,1,1,1,3,3,1,3,1,4,4,4,4,1,3,4,3,4,1,5,4,4,4,2,3,3,3,3,3,3,1,1,2,3,5,2,2,2,1,3,2,2,1,3,2,2,1,2,1,3,3,2,3,2,3,4,4,3,3,3,5,3,4,4,2,4,2,3,2,5,3,5,4,4,2,3,4,6,2,6,5,6,1,5,2,3,2,1,3,2,2,2,3,2,1,1,7,4,4,1,1,1,5,3,1,2,6,4,1,4,2,4,2,6,1,19,2,3,0,0,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,Texas,My sister,My parents moved there a year ago so we visit them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3EpeazLdVoeBmwu,Default Response Set,Anonymous,,,155.97.95.187,0,9/19/2017 15:09,9/19/2017 15:28,1,UT_143,1,1,2,3,1,3,2,1,1,2,5,2,1,4,1,5,3,5,2,3,2,2,2,3,3,2,4,4,3,2,2,1,2,3,2,2,1,1,1,4,4,4,2,3,1,2,2,3,3,1,1,1,1,1,2,4,2,2,3,2,5,3,4,3,4,2,2,5,3,1,1,5,3,4,3,6,5,3,5,3,4,6,2,6,1,6,1,3,2,5,1,2,2,1,1,1,1,1,2,4,2,3,6,5,3,6,2,4,2,4,1,2,4,3,2,2,3,3,2,5,1,18,1,3,0,0,1,,,1,,1,1,,,1,1,1,1,1,1,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,1,,1,1,1,,,1,,,,The San Juan Islands in northern Washington.,Family,"Fish, hike, kayak, draw, take pictures, make videos, and feel happy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3rYal2TajwQuVdN,Default Response Set,Anonymous,,,155.97.95.187,0,9/19/2017 15:29,9/19/2017 16:01,1,UT142,1,1,3,7,1,5,1,1,1,2,5,5,1,3,1,5,2,5,4,5,3,4,3,4,4,5,5,5,4,2,1,2,4,4,1,4,1,2,2,4,5,1,2,4,2,3,4,3,1,1,1,1,1,2,3,2,2,4,3,4,5,5,5,4,4,4,5,3,4,4,2,4,3,5,1,2,4,6,5,5,3,7,5,6,5,7,1,6,2,3,5,3,4,1,4,2,2,4,4,3,2,2,7,7,3,3,1,3,5,6,1,3,5,4,3,4,3,4,3,6,1,18,2,3,0,0,1,,,1,,1,1,,1,1,1,,1,,,,,,,,1,,,1,,1,,,1,,1,,1,,,,,1,,,,,,1,1,,1,1,,,1,The Community Library ,Myself,"Read, study, or just think",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7855072,-111.736702,-1
R_3rIKHVbCaAiHeqV,Default Response Set,Anonymous,,,155.97.94.70,0,9/20/2017 15:38,9/20/2017 16:38,1,Utah_144,1,1,2,1,1,5,1,1,1,1,3,2,1,4,1,5,4,5,5,5,2,2,2,3,2,4,5,5,2,4,4,2,4,5,2,2,1,1,2,4,5,1,4,4,1,2,2,1,1,1,1,2,3,2,4,3,1,2,1,3,5,5,5,4,5,5,6,5,3,5,5,6,4,2,6,7,4,1,1,2,6,6,6,6,5,7,1,6,5,3,2,2,5,4,5,4,4,5,3,1,1,1,7,3,7,3,2,2,5,2,1,4,6,1,4,4,1,5,4,5,1,19,3,6,0,0,1,,1,1,,1,1,,1,1,1,,,1,1,,1,,,,1,,,,,1,1,1,,,1,1,1,1,,1,,,1,,1,,,1,1,,1,,,,1,Ireland,My family,Explore and relax,,1,,,1,1,,1,1,1,,,,,,1,,,,1,,,,,,1,1,,,1,1,1,1,,1,,,1,,1,,40.7855072,-111.736702,-1
R_1hAvlZQ5S8J6g14,Default Response Set,Anonymous,,,155.97.94.70,0,9/21/2017 15:38,9/21/2017 17:00,1,Utah_145,1,1,3,2,1,3,2,1,1,2,3,2,1,2,1,5,2,5,3,4,2,2,1,1,3,3,4,4,4,4,5,4,5,4,4,1,1,1,2,5,5,5,4,4,1,3,2,2,1,5,2,3,1,4,2,4,3,3,4,3,4,3,4,1,2,5,6,2,5,6,6,2,4,2,5,2,2,4,4,6,2,6,2,6,1,7,2,3,2,6,2,1,1,1,2,1,1,1,1,2,2,2,2,10,10,3,2,3,5,5,1,1,6,5,2,1,5,2,4,5,3,31,1,3,0,0,1,1,,1,,1,1,,,1,1,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,,1,,1,1,1,,,1,,,1,,,1,1,,1,1,1,,1,California,Family/friends,Vacation,1,,1,,1,1,,,1,1,1,1,1,1,,,1,1,,,1,,1,1,1,1,,1,,1,,1,1,,,,1,,,1,,40.7855072,-111.736702,-1
R_2uwZeUQiUAySMQk,Default Response Set,Anonymous,,,155.97.95.187,0,9/22/2017 10:32,9/22/2017 11:07,1,Utah_147,1,1,3,2,1,3,2,1,1,1,3,2,1,3,1,5,3,5,2,4,3,2,4,4,2,4,2,1,4,1,5,3,3,2,2,4,1,1,1,3,4,4,4,2,1,3,4,1,2,3,4,2,2,3,2,3,1,2,3,2,5,5,5,4,4,5,3,3,2,5,7,6,3,4,2,7,5,1,7,5,4,1,3,5,5,5,7,4,2,5,2,4,4,3,4,2,2,3,2,1,1,1,1,1,9,3,2,1,3,4,4,6,6,6,5,4,3,6,3,5,1,22,2,3,0,0,1,1,,1,,1,1,,,1,1,,1,1,,,1,1,,,,,,,,,1,,1,,,1,,1,1,1,,1,1,,1,1,,,1,,1,1,1,,1,Pittsburgh,Usually my parents and brother,Spend time with extended family and see the city.,,,1,,1,1,,,1,1,,1,1,,,1,1,,,,,,,,,1,,1,,,1,,1,1,1,,1,1,,1,1,40.7855072,-111.736702,-1
R_dmSv80Unn8Z8EAF,Default Response Set,Anonymous,,,155.97.95.187,0,9/22/2017 11:13,9/22/2017 11:35,1,Utah_146,1,1,5,2,1,5,2,1,1,2,3,1,1,4,1,5,4,5,3,4,3,5,1,5,4,4,2,2,5,5,4,5,4,5,1,1,1,1,1,4,5,4,2,2,5,2,5,4,3,5,4,3,4,4,2,5,1,4,5,4,4,4,5,1,1,4,7,1,5,7,7,2,6,1,7,1,2,7,1,6,1,5,6,6,4,6,2,6,1,6,5,1,3,1,2,1,1,2,1,1,5,6,9,9,9,4,6,4,6,5,1,5,6,4,1,1,5,1,3,3,6,34,2,3,1,1,1,,,1,,1,1,,1,,,,1,1,,,,,,,1,,,,,,1,,1,,1,,1,,,,,,,,,,,,1,,1,,,,1,Camping in S. Eastern Utah,Family,"Hike, go out to eat, shop, see a game/event",,,1,,1,1,,1,,,,1,1,,,,,,,1,,,,,,1,,1,,1,,1,,,,,,,,,,40.7855072,-111.736702,-1
R_3nhYNAqaP0QO2G2,Default Response Set,Anonymous,,,155.97.94.70,0,9/22/2017 14:11,9/22/2017 15:24,1,Utah_148,1,1,2,3,1,5,1,1,3,3,3,2,1,3,1,4,3,4,3,4,4,4,4,2,2,4,3,3,5,4,4,4,3,4,3,1,1,1,1,4,4,4,2,2,2,2,4,4,2,2,4,2,2,4,4,2,1,3,4,4,4,4,4,2,4,4,5,5,6,6,3,3,3,3,5,3,4,4,4,5,5,2,3,6,2,5,7,5,3,6,2,1,1,1,1,1,1,1,1,2,4,3,9,9,2,9,5,8,4,2,2,2,3,4,3,3,2,4,4,5,1,22,1,3,0,0,1,,,1,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,1,,,1,1,1,,,,1,1,,1,,,,1,,1,1,,,1,Hawaii,Family and Friends,Go to the beach and tours,,,1,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,1,,,1,1,1,,,,1,1,,,,40.7855072,-111.736702,-1
R_ebugK4vFp1VYC5P,Default Response Set,Anonymous,,,155.97.95.187,0,9/25/2017 7:16,9/25/2017 7:40,1,Utah_150,1,1,3,5,1,3,2,1,2,2,3,3,1,3,1,4,3,4,4,3,3,1,2,2,4,3,4,4,3,3,2,4,2,3,3,2,1,1,1,4,5,4,1,1,1,2,4,2,1,1,2,1,1,2,2,2,3,4,5,2,2,4,3,3,3,3,4,3,2,5,2,4,2,3,3,3,2,6,4,5,6,4,4,6,5,5,4,5,2,5,5,2,2,2,1,2,1,2,2,1,1,1,1,1,9,2,6,1,4,3,1,2,3,4,1,2,4,4,2,4,4,20,1,4,0,0,1,,,1,,1,1,,,1,1,,,1,1,1,1,1,,,,,1,1,1,1,,,1,,,1,,1,,1,,,,,,,1,,1,1,1,,,,,at home ,family and friends ,have fun,,,1,,1,1,,,1,1,,,1,1,1,1,1,,,,,1,1,1,1,,,1,,,1,,,,1,,,,,,,40.7855072,-111.736702,-1
R_3r0AiR8PEs3u2ia,Default Response Set,Anonymous,,,155.97.95.187,0,9/25/2017 7:40,9/25/2017 8:14,1,Utah_149,1,1,6,5,1,3,2,1,1,2,1,2,1,2,1,4,3,4,3,5,3,3,2,3,1,4,4,5,4,5,4,4,3,4,4,2,1,5,2,5,5,4,4,2,2,4,2,1,1,3,1,2,1,3,4,4,2,3,3,4,5,5,5,4,4,3,4,2,4,5,2,3,4,5,5,6,6,6,2,7,4,3,6,6,5,6,5,6,2,5,6,2,5,3,3,5,4,3,4,1,1,1,7,2,9,1,1,1,5,5,2,3,6,3,2,3,3,3,3,6,1,19,2,3,0,0,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,1,1,,,,,,,Hawaii,family,relax,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,40.7855072,-111.736702,-1
R_2WBZ9SJZlvfBNCU,Default Response Set,Anonymous,,,155.97.95.187,0,9/25/2017 8:17,9/25/2017 8:40,1,Utah_151,1,1,4,5,1,4,2,1,2,2,3,3,1,2,1,4,3,4,3,4,3,3,4,4,2,4,3,3,4,3,3,3,4,4,3,3,1,1,1,3,4,4,4,2,3,2,2,1,2,3,1,1,1,2,2,1,2,1,1,1,4,2,5,1,2,2,2,4,6,3,1,4,4,4,5,6,7,5,5,4,5,5,4,4,4,6,5,6,4,5,4,3,5,3,4,2,3,3,5,1,1,1,1,9,9,4,3,2,4,3,1,3,6,2,2,3,1,4,3,4,1,20,1,3,0,3,1,,,1,,1,1,,,1,,,1,1,,,1,,,,,1,,,,1,1,,1,,,1,1,,1,,,1,,,,1,,1,1,,,,,,1,California,family,Relax and visit places,,,1,,1,1,,,1,,,1,1,,,1,,,,,1,,,,1,,,1,,,1,1,,1,,,1,,,1,,40.7855072,-111.736702,-1
R_1mJYX0jxb8fH4Fq,Default Response Set,Anonymous,,,128.110.237.136,0,9/19/2017 14:19,9/19/2017 14:47,0,UT_141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1kHroiSQL2G66Bj,Default Response Set,Anonymous,,,155.97.94.143,0,9/27/2017 14:24,9/27/2017 15:27,1,Utah_152,1,1,5,4,1,3,1,1,2,3,3,1,1,2,1,3,4,4,4,4,3,2,4,5,4,1,2,3,2,2,4,2,2,4,3,4,1,1,2,4,5,4,3,1,2,4,4,1,2,2,3,2,2,3,5,5,2,2,4,2,3,4,5,4,2,4,3,7,3,5,5,6,5,4,3,6,5,6,7,3,3,5,5,2,6,5,3,4,6,5,3,4,5,3,3,4,4,4,4,1,1,1,6,6,5,7,8,2,3,3,2,5,5,3,4,5,4,5,2,5,1,18,1,3,0,0,1,,,1,,1,1,,1,,,,1,,,,,,,,1,1,,,,,1,,1,,,1,1,,,,,,1,,,,,1,1,,,,,,1,Mountains,Myself,listen to music or hike,,,1,,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,1,,,,1,,,,,,1,,,,40.7855072,-111.736702,-1
