participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Harvey House,73,93.19423766,20.19423766,same
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Harris Hall,44,37.5286373,6.471362696,same
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Golledge Hall,44,51.76768154,7.767681538,different
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Sauer Center,26,30.3316951,4.331695097,different
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Sauer Center,111,29.20903342,81.79096658,different
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Harvey House,71,48.19593801,22.80406199,same
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Batty House,136,130.6542463,5.345753667,same
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Harris Hall,34,7.021704671,26.97829533,same
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Tobler Museum,102,17.95076442,84.04923558,different
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Snow Church,53,8.968174613,44.03182539,different
UT_141,9/19/2017 13:03,0,Lynch Station,Harris Hall,Golledge Hall,24,3.323863738,20.67613626,different
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Tobler Museum,53,99.95984558,46.95984558,different
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Batty House,30,83.35216568,53.35216568,same
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Golledge Hall,96,77.71082192,18.28917808,different
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Harvey House,11,2.146796904,8.853203096,same
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Lynch Station,125,114.5627943,10.43720572,same
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Sauer Center,53,110.6574336,57.65743363,different
UT_141,9/19/2017 13:03,0,Harris Hall,Harvey House,Snow Church,15,84.7281122,69.7281122,different
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Tobler Museum,20,42.14615863,22.14615863,different
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Harris Hall,20,4.196894849,15.80310515,same
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Golledge Hall,96,64.9530254,31.0469746,different
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Sauer Center,68,46.29205396,21.70794604,different
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Snow Church,36,66.19140238,30.19140238,different
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Lynch Station,60,32.28246429,27.71753571,same
UT_141,9/19/2017 13:03,0,Harvey House,Harris Hall,Batty House,76,46.54689912,29.45310088,same
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Lynch Station,19,173.9683139,154.9683139,different
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Harris Hall,155,176.2022806,21.20228061,different
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Harvey House,149,139.9309368,9.069063217,different
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Batty House,112,173.5694617,61.56946175,different
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Tobler Museum,44,147.0284471,103.0284471,same
