,id,Between_Pointing_Corrected,Within_Pointing_Corrected
49,Utah_151,76.40036584251885,50.62613179082621
50,Utah_152,60.88538671309977,30.716109492166712
51,Utah_153,51.186291634807226,32.96673896593491
52,Utah_154,29.924966848998114,18.076325363089726
53,utah_155,58.61858987282083,69.56995194593014
54,Utah_156,75.3072228647016,58.74235657583088
55,Utah_157,79.85545796050249,49.90277514534324
56,Utah_158,76.85560789861788,60.781927630721476
57,Utah_159,19.925058335094047,26.160702960313706
58,Utah_160,29.81518351848312,20.891603253537983
59,Utah_161,82.7424546158164,74.39737416361977
60,Utah_162,37.81737391100386,17.998300195623518
61,Utah_163,65.66745718528378,54.36829393677803
62,Utah_164,29.86909524495335,25.8928322471823
63,Utah_165,47.39629070693382,29.40625821559384
64,Utah_166,67.80612647166521,39.7006526517168
65,Utah_167,64.66769879614938,27.285840971087985
66,Utah_169,65.92425001526556,23.53875838131066
67,Utah_170,81.59292234245078,31.70626845265327
68,Utah_171,69.67128150634284,86.20576671577751
69,Utah_172,48.04758274289166,53.908599181096044
70,Utah_173,61.17902358321398,40.23911015446666
71,Utah_174,59.38659587292206,35.50287925581168
72,Utah_175,73.3221108952919,70.3604005656561
73,Utah_176,56.38847541467909,8.021018830497425
74,Utah_177,44.94536360411459,36.66807459094181
75,Utah_178,63.366822165053975,36.690674658391316
76,Utah_179,63.35047340126954,9.805030647257075
77,Utah_180,59.025259822489865,57.621974157129976
78,Utah_181,44.62397656849838,22.871712868428553
79,Utah_183,78.55320282890756,40.86816620477131
80,Utah_184,39.82924268772679,20.501810227015394
81,Utah_185,65.67873898341466,58.72890746607983
82,Utah_186,64.05244206402915,30.170266256827055
83,Utah_187,42.892103460970084,24.8172505443535
84,Utah_188,60.87397786851679,29.436289090169787
85,Utah_189,35.71962427746527,16.48063173829444
86,Utah_190,56.75244262574056,17.053917865124113
87,Utah_191,77.65976719007128,17.365841687043872
88,Utah_192,57.062691527886145,37.208639568351884
89,Utah_193,63.37669162266987,40.78458679707393
90,Utah_194,70.40714346224303,31.5011116594359
91,Utah_195,52.05670115621358,36.801893766443335
92,Utah_196,61.41387283618166,31.35290562576064
93,Utah_197,62.36328063309504,35.62727503772938
94,Utah_198,52.36395271476871,27.22598044706203
95,Utah_199,68.83138903358488,62.13059446839402
96,Utah_200,72.75112932820312,57.53358809826001
97,Utah_201,52.87086203942155,36.12720793188908
98,Utah_202,34.699854239673385,54.90197821176785
99,Utah_203,72.3542548148543,63.966090312775734
100,Utah_204,51.672521834898824,41.67737364109224
101,Utah_205,74.72289380272974,32.56290403858876
