good_pointing_coding_between,good_pointing_coding_within,bad_pointing_coding_between,bad_pointing_coding_within,trackpad/mouse,Site,Experimenter ,NOTES,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,participant,Participant_UUID_Silcton,date,MRT,SBSOD,New_or_Original,Education_Numeric,Overall_r,Overall_rsquared,Overall_angle,Overall_x_scale,Overall_y_scale,Overall_distortion_index,Batty_r,Batty_rsquared,Batty_angle,Batty_x_scale,Batty_y_scale,Batty_distortion_index,Golledge_r,Golledge_rsquared,Golledge_angle,Golledge_x_scale,Golledge_y_scale,Golledge_distortion_index,good_pointing_coding_total,bad_pointing_coding_total,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,WRAT,Buildings_Percent,Study_Combined_Correct,Cluster_Matches,K_Means_Across_All,SAQ,Total_Time_in_Environment,Within_rsquared_average
70.7461531,30.05416981,55.29166858,17.63531495,trackpad,UF,Rachel,Using chrome; At Panera so background is noisy; Timed out of MRT pt 1; ,Female,20,Hispanic/Latino,Other:,Middle Eastern/White,High School,,Left,Spanish,4,128,edf159e2-07d8-43a4-857b-e869bc174485,2020-11-09 15:10:51 UTC,0,3.333333333,New,,0.585662849,0.343000972,22.22551158,0.525891129,0.525891129,0.656999028,0.577707903,0.333746421,29.22381859,0.567362343,0.567362343,0.666253579,0.943483715,0.89016152,80.39616229,1.037379964,1.037379964,0.10983848,53.30673169,39.15323131,,,,,,,,,,,,,0.61195397
32.56217582,8.415467975,26.96587353,8.231790105,trackpad,UF,Rachel,"Used safari,  during pointing task, could not view the prompt so had to click to full screen again and accidentally skipped through one of the prompts;",Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,129,46fb51be-0d6d-4fc0-8e61-5adff691f9be,2020-11-09 17:01:10 UTC,54,6.133333333,New,,0.967333396,0.9357339,-20.54801361,0.979414559,0.979414559,0.0642661,0.977193318,0.954906781,-40.16496707,1.049948527,1.049948527,0.045093219,0.961008099,0.923536567,4.593474403,1.033363081,1.033363081,0.076463433,22.21358674,18.93698063,,,,,,,,,,,,,0.939221674
22.71944115,13.12188545,20.20443862,12.50991113,mouse,UF,Brandi,"participant said that screen share cut off a portion of their screen. walking task was a ittle bit laggy, but doable ",Female,19,Not Hispanic/Latino,White,,College,,Left,English,,13,972a4fb5-7887-49f1-9575-979b45d9a1d6,2020-07-21 14:10:09 UTC,14,3.066666667,New,,0.643830731,0.414518011,-39.49537555,0.574671888,0.574671888,0.585481989,0.81462385,0.663612017,-33.35303669,1.252505984,1.252505984,0.336387983,0.930840695,0.8664644,41.60964454,1.140211936,1.140211936,0.1335356,18.606203,16.90678398,,,,,,,,,,,,,0.765038209
39.30538438,12.12356593,29.56819891,9.799452637,trackpad,UF,Amanda,"Mac, IOS, chrome",Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,131,8e5dda57-8ac0-4073-9494-5c8f786268b7,2020-11-12 15:07:22 UTC,20,3.266666667,New,,0.716585332,0.513494538,-27.7851337,0.691481021,0.691481021,0.486505462,0.899699276,0.809458788,-57.47288963,1.092920264,1.092920264,0.190541212,0.417664642,0.174443753,-65.24859293,0.558267118,0.558267118,0.825556247,27.65603362,21.09587908,,,,,,,,,,,,,0.491951271
35.17623416,24.45966362,25.10283611,13.0612555,trackpad,Temple,Sarah,"Participant timed out for part 1 and 2 of MRT. Participant was very attentive throughout the study and paid close attention to the routes. The environment got a bit laggy at some points, but nothing bad enough to interfere with the participant’s ability to complete the study. ",Female,28,Hispanic/Latino,White,,Master's,,Right,English,,133,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,2020-11-18 22:09:44 UTC,36,5.6,New,,0.873562531,0.763111495,-66.96607044,0.750316892,0.750316892,0.236888505,0.981062354,0.962483342,-37.26059131,1.222805307,1.222805307,0.037516658,0.967160451,0.935399337,-79.78356434,1.248292392,1.248292392,0.064600663,30.58341821,19.94215871,,,,,,,,,,,,,0.948941339
30.92800995,8.668406918,25.95471857,6.882901987,trackpad,UF,Amanda,"Macbook, IOS, chrome",Male,18,Hispanic/Latino,White,,High School,,Right,English,,134,e1a48277-e211-481a-81ae-95d581ec3851,2020-11-19 15:08:23 UTC,44,5.133333333,New,,0.754193807,0.568808299,-36.7922133,0.78869007,0.78869007,0.431191701,0.962903776,0.927183681,-50.22903457,1.219175638,1.219175638,0.072816319,0.818680535,0.670237818,27.63382068,1.632001928,1.632001928,0.329762182,21.38818008,17.78108289,,,,,,,,,,,,,0.798710749
60.65936318,46.99283086,50.44004126,31.65576993,trackpad,Temple,Sarah,Macbook Pro. No issues. Participant was attentive.,Female,22,Not Hispanic/Latino,Asian,,High School,,Right,English,,139,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,2020-11-24 16:06:52 UTC,-20,4.8,New,,0.184769126,0.03413963,80.52592179,0.132957995,0.132957995,0.96586037,0.898965519,0.808139004,-8.668237401,1.073121346,1.073121346,0.191860996,0.600712585,0.360855609,-71.08500906,0.595127642,0.595127642,0.639144391,54.8022779,42.38963927,,,,,,,,,,,,,0.584497307
85.04692758,32.20478087,58.08009517,20.04306597,trackpad,Temple,Maddy,"Macbook Air Catalina, Chrome. Participant was able to go through MRT pretty quickly without running into the time limit. Had to explain MRT practice questions feedback a few times. Participant stopped in front of one of the buildings that don't need to be memorized, so I clarified that the only ones relevant for the later task have blue gems in front, but emphasized that they can still observe the other parts of the environment too to understand how everything is related. Participant was initially confused about why they had to follow the path backwards. When the second route loaded, pt asked how many more sections they would have to memorize (I explained the routes again). However, they did take time to look around plenty and weren't rushing through. When the 4th route was loading, the pt's browser gave them an error and they clicked the ""I'm Finished"" button again so it skipped to the pointing task. I had them change the number at the end of the link from 6 to 5, and the 4th route successfully loaded. At the end of the pointing task, pt asked how much longer it would take, I said they were almost done and encouraged them (""You're doing a great job, keep it up"")",Female,19,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,spanish,10,140,73cc3358-285f-4f2e-90c0-2fca4281b9f6,2020-11-24 16:42:14 UTC,2,3.4,New,,0.235868596,0.055633994,-84.43150048,0.2582364,0.2582364,0.944366006,0.843052807,0.710738035,-35.57353772,1.123810273,1.123810273,0.289261965,0.537295348,0.288686291,-65.13210501,1.05277514,1.05277514,0.711313709,62.40029328,41.77851123,,,,,,,,,,,,,0.499712163
64.49438724,23.79403769,46.93903752,18.23707989,Trackpad,UF,Amanda,"Lenovo ideapad, chrome, laptop, ran very smoothly, no connection or silcton issues",Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,143,b16cbe15-9952-4706-8e1a-cb16fb90ec92,2020-12-03 15:11:54 UTC,18,3.2,New,,0.631887949,0.39928238,89.4449257,0.655349508,0.655349508,0.60071762,0.861633576,0.742412419,-66.48099189,1.429987178,1.429987178,0.257587581,0.912028774,0.831796485,-61.95094186,1.747109925,1.747109925,0.168203515,47.05138029,34.63819854,,,,,,,,,,,,,0.787104452
65.4631086,10.45655694,53.89770124,8.766618409,Trackpad,Temple,Maddy,"HP Laptop; No option to share portion of screen, but was able to optimize sharing for a video clip. Participant sighed during MRT practice problems. Rested for 20 seconds or so before moving on to MRT part 2. Took plenty of time to look at surroundings and buildings to learn. Did a lot of stopping throughout on the routes. Participant struggled a bit to understand the instructions of the pointing task. Went through pointing task sort of quickly, but still turned around to point to different buildings. Sighed a few times during the pointing task. Seemed like they put some buildings slightly outside the box border in the map arrangement task, but clicked ""I am finished"" before I could tell them to move them back within the borders.",Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,Spanish,15,145,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,2020-12-09 15:15:10 UTC,8,3.533333333,New,,0.939565412,0.882783164,-34.87361233,1.006935704,1.006935704,0.117216836,0.986028464,0.972252133,-34.99813068,1.178491031,1.178491031,0.027747867,0.745805555,0.556225926,-21.00762452,1.119084372,1.119084372,0.443774074,41.88887217,34.5558086,,,,,,,,,,,,,0.764239029
