Participant_ID,Seen_Within,Unseen_All,Unseen_Within,Unseen_Between,Between_Pointing,Within_Pointing,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,SBSOD,Gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,Buildings_Percent,MRT,Ints_Others_Clusters,Non_Int_Imps_Only_Clusters,Study_Combined_Correct,Two_Step_Within_0,Two_Step_Within_1,Two_Step_Within_2,Two_Step_Within_3,Two_Step_Across_All,Two_Step_Within_All,Cluster_Matches,K_Means_Within_0,K_Means_Within_1,K_Means_Within_2,K_Means_Within_3,K_Means_Across_All,K_Means_Within_All,SAQ,Model_Building_Average_Within,Total_Time_in_Environment,Seen_Unseen,UnseenB_UnseenW,Pointing_mean
1042,45.35542328,54.20532188,43.01545965,63.90320249,59.89432511,41.4575434,1,,,,Asian,4.4,Male,,0.54362813,0.890938281,0.877680413,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.13,0.884309347,,1,1,51.99284723
1043,11.89392333,46.14608742,36.42389074,49.18427388,49.18427388,22.11474308,1,,1,,White,4.133333333,Female,52,0.168624245,0.195751197,0.534365126,0.125,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.5,0.365058162,,2,1,37.58304639
1044,5.312202038,23.85353992,29.50624541,22.08706945,22.08706945,15.39305344,1,,2,,White,4.133333333,Male,44,0.800585313,0.941577288,0.889111759,0.25,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.125,0.915344524,,3,3,19.21820545
1045,27.97943604,51.33227718,36.2903629,56.03287539,56.03287539,31.44232223,1,,,,White,4.8,Male,,0.213885223,0.425331847,0.323238057,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,1.5,0.374284952,,1,1,45.49406689
1046,45.78633669,44.72008167,65.56818331,38.20504991,38.20504991,54.02877278,1,,,,White,2.533333333,Female,,0.278763462,0.72924268,0.097592495,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.5,0.413417588,,1,2,44.98664543
1047,18.80426595,50.73996667,37.90766816,54.75005995,54.75005995,26.76401687,1,,3,,White,4.133333333,Male,46,0.529059279,0.518339997,0.124978877,0.375,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.375,0.321659437,,2,1,42.75604149
1048,15.82506231,48.41425592,28.10192588,54.76185905,54.76185905,20.94042213,1,,3,,Black,5.066666667,Female,48,0.554398838,0.884334841,0.969006394,0.375,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.25,0.926670618,,2,1,40.26695751
1049,14.8800065,44.25642251,26.28936702,49.87112735,49.87112735,19.63390672,1,,6,,,3.133333333,Female,45,0.361680287,0.710338943,0.172097737,0.75,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.125,0.44121834,,2,1,36.91231851
1050,30.44325668,48.19305713,31.03405599,53.55524499,53.55524499,30.68942306,1,,0,,Black,3.8,Female,46,0.279210109,0.528806234,0.120691569,0,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Imprecise Navigator,Non-Integrator,3.625,0.324748902,,1,1,43.75560702
1051,35.3384428,52.32669937,42.49686559,55.39852243,55.39852243,38.32111896,1,,6,,Black,4.866666667,Female,,0.311572514,0.250372378,0.028361732,0.75,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.625,0.139367055,,1,1,48.07963523
1052,7.335307069,36.05628896,27.01893388,38.88046242,38.88046242,15.53681824,1,,6,,,5.2,Female,,0.84162888,0.806981875,0.880245805,0.75,,2,,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Integrator,,,Integrator,Integrator,3,0.84361384,,3,3,28.87604349
1053,11.45978245,51.13877793,41.61309837,54.1155528,54.1155528,24.02366408,1,,6,,White,2.933333333,Female,44,0.306669191,0.538978388,0.270157955,0.75,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.625,0.404568172,,2,1,41.21902906
1054,20.48591783,53.49834506,48.38329059,55.09679958,55.09679958,32.10982315,1,,3,,White,4.333333333,Female,47,0.144922644,0.537722735,0.723376206,0.375,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.625,0.630549471,,2,2,45.24523825
1055,15.73807411,49.08284732,37.87435889,52.58549996,52.58549996,24.9615261,1,,7,,Other,6.133333333,Male,49,0.601214442,0.580828839,0.878389429,0.875,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.125,0.729609134,,2,1,40.74665402
1056,23.52043073,52.66702923,43.86818331,55.41666858,55.41666858,31.99866097,1,,6,,White,3.466666667,Female,,0.427393591,0.531853207,0.388884484,0.75,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,2.25,0.460368846,,2,2,45.3803796
1057,56.73894582,54.84207717,47.47642262,57.14384422,57.14384422,52.87956116,1,,,,,,,,0.023789958,0.557736079,0.470850327,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,,0.514293203,,1,2,55.31629434
1058,7.000199402,32.1939605,30.57897105,32.6986447,32.6986447,16.82468759,1,,,,White,4.6,Female,,0.710994056,0.72734393,0.969197037,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,1.75,0.848270484,,3,3,25.89552022
1059,16.44806804,28.79175651,32.61992976,27.59545236,27.59545236,23.18634376,1,,4,,White,4.666666667,Male,41,0.102189465,0.771196972,0.866311416,0.5,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4,0.818754194,,3,3,25.70583439
1060,15.51436826,28.14830443,25.21912525,29.06367292,29.06367292,19.55801701,1,,4,,White,3.4,Male,54,0.768920038,0.911162933,0.714576135,0.5,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,5.125,0.812869534,,3,3,24.98982039
1061,3.220516974,31.01498767,28.5530612,31.7843397,31.7843397,13.77574374,1,,,,White,4.5333,Male,,0.31261923,0.497273333,0.966440487,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.25,0.73185691,,3,3,24.06637
1062,4.702833467,19.64495824,28.94543302,16.73855987,16.73855987,14.80391661,1,,6,,White,4.533333333,Male,52,0.938457784,0.958272576,0.979682636,0.75,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4,0.968977606,,3,3,15.90942704
1063,13.34979292,42.50445523,25.15831285,47.92512472,47.92512472,18.27000956,1,,,,Wh/Hisp,4.86666,Female,,0.407052598,,,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.875,,,2,1,35.21578965
1064,4.283881991,37.33783553,11.46273827,45.42380342,46.12559369,7.275072109,1,,,,White,5.06666,Male,,0.905952474,,,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.5,,,3,3,29.47537016
1065,22.86728651,45.07398791,31.14012352,49.42832053,49.42832053,26.31430193,1,,,,White,2.9333,Male,,0.177950086,0.856222062,0.26839116,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.25,0.562306611,,2,1,39.52231256
1066,8.16247045,29.33181089,9.474259735,35.53729562,35.53729562,8.709049318,1,,8,,White,4.666666667,Female,41,0.721412872,0.671345586,0.895808516,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.5,0.783577051,,3,3,24.03947578
1067,30.59312688,51.30633554,40.35372373,54.72902674,54.73,34.66004224,1,,,,,3.53333,Female,,0.46363967,0.830895298,0.359912062,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.125,0.59540368,,1,1,46.12858953
1068,18.81914888,56.34576685,32.66196304,63.74695555,63.75,24.58698812,1,,,,Black,3.86666,Male,,0.684395177,0.702651604,0.075345643,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.25,0.388998624,,2,1,46.96585205
1069,12.88898096,34.51159662,18.71893388,39.44680372,39.45,15.31812801,1,,,,Omitted,5.8,Male,,0.592426591,0.7322593,0.955561396,,,2,,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Integrator,,,Integrator,Integrator,2.25,0.843910348,,3,3,29.10776915
1070,6.682361263,44.9080053,31.53032573,49.08853017,49.09,17.03567979,1,,,,Hispanic,5.6,Male,,0.025104732,0.731621485,0.875450739,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.625,0.803536112,,2,1,35.3524342
1071,8.33421206,40.60602246,17.35127445,47.87313122,47.87,12.09132139,1,,,,Asian,4.933333,Female,,0.826977146,0.977464646,0.232651146,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.75,0.605057896,,2,3,32.5362806
1072,34.49522224,46.45491461,49.11309837,45.62423219,45.62,40.58600396,1,,,,Black,4.733333,Female,,0.255259295,0.437774585,0.560630583,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.25,0.499202584,,1,2,43.46257313
1073,29.31550361,60.75341685,46.2530612,65.28477799,65.28,36.37281928,1,,5,,White,4.133333333,Female,49,0.307161237,0.178741808,0.164648233,0.625,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.5,0.171695021,,1,2,52.89120826
1074,20.18054025,49.37560951,46.35372373,50.31994882,50.32,31.08603337,1,,,,White,4.93333,Male,,0.194605709,0.863384083,0.09943469,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Imprecise Navigator,Non-Integrator,5,0.481409387,,2,2,42.07687144
1075,33.64100361,38.3793441,38.3530612,38.38755751,38.39,35.60436094,1,,,,White,1.933333,Male,,0.311039649,0.860595379,0.758112613,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,5.625,0.809353996,,1,1,37.19615469
1076,6.201984637,22.57559521,39.43149274,17.30812723,17.31,20.04761301,1,,,,White,5.33333,Male,,0.808177413,0.789534431,0.871785382,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.5,0.830659907,,3,3,18.48326272
1077,16.94550048,47.57752492,59.09609036,43.97797322,43.98,34.50824627,1,,,,Wh/Hisp,1.66666,Female,,0.082356994,0.418840833,0.940319932,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3,0.679580383,,2,2,39.92067697
1078,5.446734363,15.59569494,10.17015897,17.29117492,17.29,7.414827951,1,,7,,Black/Wh,5.133333333,Female,45,0.924937172,0.911237061,0.943915269,0.875,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.25,0.927576165,,3,3,13.05778341
1079,29.26701287,51.93537594,38.28329059,56.20165262,56.2,33.02379526,1,,,,Other,3.4,Female,,0.180335153,0.143743655,0.810639536,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,5.875,0.477191596,,1,1,46.26734083
1080,29.63320603,46.25932036,28.0530612,51.94877635,51.95,28.97481235,1,,,,White,2.9333,Female,,0.176538472,0.238640746,0.698168013,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.5,0.468404379,,1,1,42.10349101
1101,,,,,,,1,,7,,White,4.533333333,Female,44,0.766995775,0.592037744,0.684708468,0.875,,,,1,,,,,,,0,,,,,,,3.75,0.638373106,,,,
1102,31.76243761,40.14040076,24.83405599,44.9236335,44.9236335,28.87561193,1,,7,,Black,4.4,Female,51,0.32218722,0.724983656,0.304543727,0.875,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.625,0.514763692,,1,1,38.04590997
1103,38.22611151,48.12922846,31.98681859,53.17373154,53.17373154,35.62640613,1,,3,,White,3.866666667,Female,50,0.401944019,0.51098972,0.342251669,0.375,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4,0.426620694,,1,1,45.65344922
1104,7.210666457,49.66838256,31.97897105,55.19632366,55.19632366,17.53079337,1,,8,,White,3.8,Male,50,0.486912138,0.781362909,0.896071233,1,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.75,0.838717071,,2,1,39.05395354
1105,8.366463859,19.70559822,14.06273827,21.46899195,21.46899195,10.73991153,1,,8,,Hisp,4.4,Male,48,0.882670121,0.975700711,0.971465313,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.875,0.973583012,,3,3,16.87081463
1106,9.690422156,55.67368617,56.93605319,55.27919647,55.27919647,29.37610175,1,,8,,Bl/Hisp,4.466666667,Female,46,0.148406619,0.745599208,0.660960969,1,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.625,0.703280089,,2,2,44.17787016
1107,7.875846449,58.56368233,43.51320642,63.26695605,63.26695605,22.72474644,1,,6,,White,2.8,Female,47,0.002504729,0.587719085,0.867908504,0.75,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.875,0.727813795,,2,1,45.89172336
1108,5.926717892,28.66698964,19.01320642,31.6837969,31.6837969,11.37942145,1,,8,,White,5.133333333,Female,51,0.735628183,0.831984869,0.899020568,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.125,0.865502718,,3,3,22.98192171
1109,17.55772978,41.61036422,14.48633389,50.0866237,50.0866237,16.27798149,1,,8,,White,4.533333333,Male,52,0.393789786,0.681571098,0.952004649,1,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4,0.816787874,,2,3,35.59720561
1110,9.188571239,53.96535826,36.7530612,59.34420109,59.34420109,20.67377539,1,,8,,Black,5.2,Female,48,0.149074416,0.724078588,0.367234211,1,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.375,0.5456564,,2,1,42.7711615
1111,5.47007517,22.85060127,21.33149274,23.32532268,23.32532268,12.07899916,1,,8,,White,3.533333333,Male,51,0.817963372,0.873734323,0.787320594,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.125,0.830527459,,3,3,18.50546974
1112,47.92823455,60.78808805,45.01638545,65.71674511,65.71674511,46.71496409,1,,6,,,,,51,0.013531162,0.187217788,0.318669576,0.75,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,,0.252943682,,1,2,57.57312467
1113,35.22093998,49.12692869,35.47401882,53.39346302,53.39346302,35.32638949,1,,,,White,2.6,Female,,,,,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,5,,,1,1,45.65043151
1114,23.18016323,43.39070328,36.47401882,45.55216718,45.55216718,28.71926973,1,,8,,Black,4.2,Female,45,0.027811948,0.805323569,0.770481756,1,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.5,0.787902663,,2,1,38.33806827
1115,9.502011301,41.16890001,24.37974628,46.41551055,46.41551055,15.70106754,1,,5,,White,5.2,Female,46,0.082182057,0.686754817,0.82351831,0.625,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.125,0.755136564,,2,1,33.25217783
1116,29.76628634,57.21817291,58.1530612,56.92602031,56.92602031,41.5941092,1,,7,,White,4.133333333,Female,51,0.568448963,0.310495573,0.939581083,0.875,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.875,0.625038328,,1,2,50.35520126
1117,11.9054128,20.81682489,21.98363956,20.4521953,20.4521953,16.10467395,1,,6,,White,5.733333333,Male,49,0.094788289,0.780674729,0.944005405,0.75,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.75,0.862340067,,3,3,18.58897186
1118,9.873692003,28.57205822,32.12576528,27.46152477,27.46152477,19.1453892,1,,7,,White,3.666666667,Male,52,0.881055223,0.895667889,0.890377209,0.875,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.5,0.893022549,,3,3,23.89746667
1119,37.76558264,52.20038126,43.67867843,54.8634134,54.8634134,40.22937255,1,,3,,Black,5.066666667,Female,35,0.393287035,0.420701565,0.586158769,0.375,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,1.875,0.503430167,,1,2,48.59168161
1120,36.96093383,41.10693931,42.89152991,40.54925474,40.54925474,39.43201553,1,,5,,Black,5.466666667,Female,45,0.734442652,0.783078938,0.261727963,0.625,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.75,0.52240345,,1,1,40.07043794
1121,5.76251674,52.53734038,25.81893388,60.88684241,60.88684241,14.11935722,1,,8,,White,5.2,Male,46,0.251981213,0.792842793,0.844313294,1,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.875,0.818578044,,2,1,40.84363447
1122,12.37662776,32.33995399,31.22576528,32.68813796,32.68813796,20.23043506,1,,7,,White,5.4,Female,44,0.237621663,0.900997263,0.024548506,0.875,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.375,0.462772885,,3,3,27.34912243
1123,15.68960129,43.80823606,26.17897105,49.31738138,49.31738138,20.06017202,1,,,,White,3.466666667,Female,,0.525829939,0.440301747,0.397882107,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.125,0.419091927,,2,1,36.77857737
1124,34.64111252,60.09524274,47.77780405,63.94444233,63.94444233,40.11473399,1,,5,,Omitted,4.666666667,Female,40,0.146397172,0.648067814,0.586860563,0.625,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.75,0.617464189,,1,2,53.73171018
1125,18.25635063,38.66001046,28.20547019,41.92705429,41.92705429,22.40181711,1,,7,,,,Male,44,0.511718444,0.834066419,0.857612186,0.875,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,,0.845839303,,2,1,33.5590955
1126,43.61221235,52.79281289,45.61320642,55.03643991,55.03643991,44.44595988,1,,5,,White,2.133333333,Female,46,0.59358223,0.224532746,0.523353327,0.625,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.375,0.373943037,,1,2,50.49766275
1127,19.10983062,45.24439221,34.81893388,48.50234793,48.50234793,25.65529031,1,,5,,Asian,3.066666667,Female,49,0.409250839,0.490719431,0.24541257,0.625,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.75,0.368066001,,2,1,38.71075181
1128,3.899185516,31.14024976,8.662738273,38.1644721,38.1644721,5.883999165,1,,7,,White,6,Female,49,0.878916976,0.970839198,0.941767392,0.875,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.25,0.956303295,,3,3,24.3299837
1129,28.6147991,38.87749746,19.07324359,45.0663268,45.0663268,24.63915097,1,,3,,White,5.266666667,Male,43,0.486624176,0.295904954,0.110268517,0.375,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.25,0.203086736,,1,3,36.31182287
1130,7.39390413,30.51081844,30.2530612,30.59136758,30.59136758,16.91855291,1,,8,,Black,5.733333333,Male,44,0.440209423,0.752208447,0.970838656,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.875,0.861523551,,3,3,24.73158986
1131,57.01546327,53.77247983,27.17324359,62.08474116,62.08474116,44.58120507,1,,,,White,3.6,Male,,0.224313202,0.669911971,0.154731827,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.75,0.412321899,,1,1,54.58322569
1132,4.335709254,41.6401468,42.86196304,41.25832922,41.25832922,20.388315,1,,7,,Asian,5.666666667,Male,48,0.564767686,0.546916249,0.669478507,0.875,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.875,0.608197378,,2,1,32.31403741
1133,4.060429449,49.07189407,32.23149274,54.33451949,54.33451949,15.79837249,1,,6,,Asian,2.8,Male,54,0.489721118,0.888109934,0.788215108,0.75,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5,0.838162521,,2,1,37.81902792
1134,40.24459777,56.14016342,81.25690276,48.29118238,48.29118238,57.33305818,1,,3,,White,5,Female,45,0.158989504,0.207451362,0.047820509,0.375,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.5,0.127635936,,1,2,52.16627201
1135,14.64973051,36.27044737,34.03192502,36.96998561,36.96998561,22.72564489,1,,7,,Other,5.2,Female,45,0.601300694,0.694759532,0.816179969,0.875,,2,,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Integrator,,,Integrator,Integrator,4.875,0.755469751,,2,3,30.86526816
1136,48.01785765,40.62219017,25.2342969,45.43090681,45.43090681,38.52470734,1,,4,,Hispanic,2.533333333,Female,49,0.631307315,0.173008151,0.275274607,0.5,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.625,0.224141379,,1,1,42.47110704
1137,17.30077577,52.06670013,27.51893388,59.73787708,59.73787708,21.55834165,1,,7,,Other,4.4,Female,48,0.410108107,0.452350334,0.897349531,0.875,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.25,0.674849933,,2,1,43.37521904
1138,11.85331323,40.38501991,36.09619841,41.72527662,41.72527662,21.95451539,1,,,,Asian,3.333333333,Male,,0.290372616,0.137833297,0.914305918,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.125,0.526069608,,2,1,33.25209324
1139,18.69043513,46.01951933,35.5138736,49.30253362,49.30253362,25.70020116,1,,4,,White,4.133333333,Male,54,0.361750451,0.832193287,0.968673199,0.5,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.25,0.900433243,,2,1,39.18724828
1140,14.78332891,38.23280409,23.33149274,42.88946389,42.88946389,18.34506384,1,,,,White,5.6,Male,,0.283119471,0.824759737,0.213635202,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3,0.51919747,,2,3,32.3704353
1141,3.739451498,55.66783628,33.17897105,62.69560666,62.69560666,16.00591798,1,,6,,Other,2.933333333,Male,47,0.436882307,0.647297429,0.907912171,0.75,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.625,0.7776048,,2,1,42.68574008
1142,20.52516578,42.55960668,11.97974628,52.11581305,52.11581305,16.96457432,1,,4,,Asian,4.133333333,Male,47,0.413136662,0.81064134,0.845752191,0.5,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.625,0.828196766,,2,3,37.05099645
1143,6.088392396,39.96287076,10.14079959,49.282268,49.282268,7.776895395,1,,6,,White,5.133333333,Female,54,0.682842275,0.756318118,0.909045118,0.75,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,5.125,0.832681618,,2,3,31.49425117
1144,12.98152573,25.28595579,12.73151892,29.20921732,29.20921732,12.87735623,1,,8,,White,3.8,Male,45,0.820677721,0.856107468,0.972579299,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.125,0.914343384,,3,3,22.20984828
1145,2.273036191,44.01457817,24.92349434,49.98054186,49.98054186,11.71072709,1,,8,,Asian,4.866666667,Male,52,0.909316877,0.863224744,0.919681086,1,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,1.875,0.891452915,,2,1,33.57919267
1146,3.238503102,33.95941213,41.18353151,31.70187482,31.70187482,19.0489316,1,,8,,White,1.8,Female,50,0.16577828,0.795365363,0.931024339,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,5,0.863194851,,3,3,26.27918487
1147,3.637902939,16.74347256,10.94484916,18.55554237,18.55554237,6.682463863,1,,8,,White,3.6,Male,52,0.842241673,0.665216966,0.91168644,1,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,4.875,0.788451703,,3,3,13.46708015
