Participant_ID,Seen_Within,Unseen_All,Unseen_Within,Unseen_Between,Between_Pointing,Within_Pointing,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,SBSOD,Gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,Buildings_Percent,MRT,Ints_Others_Clusters,Non_Int_Imps_Only_Clusters,Study_Combined_Correct,Two_Step_Within_0,Two_Step_Within_1,Two_Step_Within_2,Two_Step_Within_3,Two_Step_Across_All,Two_Step_Within_All,Cluster_Matches,K_Means_Within_0,K_Means_Within_1,K_Means_Within_2,K_Means_Within_3,K_Means_Across_All,K_Means_Within_All,SAQ,Model_Building_Average_Within,Total_Time_in_Environment,Seen_Unseen,UnseenB_UnseenW,Pointing_mean
13,,,,,58.86,12.05,0,,,,,4.4,Male,,0.678417116,0.607372889,0.861834965,,22,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.734603927,,,,38.79857143
14,,,,,41.98,23.26,0,,,,,3.333333333,Female,,0.606839221,0.546707776,0.782175333,,24,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.664441555,,,,33.95714286
15,,,,,59.82495045,36.07234222,0,,,,,5.33,Male,,0.22807557,0.385414815,0.121713722,,-8,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.253564269,,,,49.64526121
16,,,,,45.87041305,19.90341242,0,,,,,5.6,Male,,0.019313264,0.855253798,0.910386644,,62,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.882820221,,,,34.74169849
17,,,,,57.37217873,29.73168626,0,,,,,4.6,Female,,0.452501805,0.440518282,0.862975704,,22,1,2,,Non-Integrator,,,,Imprecise Navigator,Non-Integrator,1,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.651746993,,,,45.52625339
18,,,,,31.60004851,11.37696912,0,,,,,4,Male,,0.816772253,0.960818215,0.721342924,,22,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.84108057,,,,22.93301449
19,,,,,38.09080448,12.88325147,0,,,,,3.87,Female,,0.071295566,0.777047097,0.95927816,,14,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.868162628,,,,27.28756748
20,,,,,25.42331669,14.46950942,0,,,,,5.67,Female,,0.63692267,0.946901636,0.819375473,,54,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.883138555,,,,20.72882786
21,,,,,46.75035584,30.08022868,0,,,1,,5.47,Female,,0.303786673,0.11886802,0.291910538,,10,1,1,,Non-Integrator,,,,Imprecise Navigator,Non-Integrator,1,Imprecise Navigator,,,,Non-Integrator,Imprecise Navigator,,0.205389279,,,,39.60601563
22,,,,,62.10463431,33.52653834,0,,,,,5,Female,,0.366149704,0.13991731,0.787160658,,16,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.463538984,,,,49.85687889
23,,,,,56.7246106,36.51226761,0,,,,,5.13,Female,,0.382420558,0.804706921,0.257228599,,38,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.53096776,,,,48.06217789
24,,,,,48.12472896,22.8853842,0,,,,,3.8,Female,,0.303585338,0.633169139,0.861797694,,20,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.747483416,,,,37.30786692
25,,,,,41.01609106,46.23238215,0,,,,,3.47,Female,,0.291256557,0.829137637,0.030994295,,12,1,1,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.430065966,,,,43.25164438
