"participant","Overall_r","Overall_rsquared","Overall_angle","Overall_x_scale","Overall_y_scale","Overall_distortion_index","Batty_r","Batty_rsquared","Batty_angle","Batty_x_scale","Batty_y_scale","Batty_distortion_index","Golledge_r","Golledge_rsquared","Golledge_angle","Golledge_x_scale","Golledge_y_scale","Golledge_distortion_index"
"Rep ABDC_4",0.612129299252245,0.374702279003045,-47.9324962751313,0.604263578462236,0.604263578462236,0.625297720996955,0.766419121160945,0.587398269281116,-17.670544927023,1.05305735723074,1.05305735723074,0.412601730718884,0.801836518917023,0.64294180306897,13.3331232495028,1.42783222160921,1.42783222160921,0.35705819693103
"Rep ABDC_5",0.408241592312417,0.166661197693778,-85.9754416866484,0.415535206539156,0.415535206539156,0.833338802306222,0.80621017645332,0.649974848616894,-32.9982273815783,1.13637934595999,1.13637934595999,0.350025151383106,0.839976703380146,0.705560862221378,-32.089120832028,1.51090455755851,1.51090455755851,0.294439137778622
"Rep ABDC_6",0.979843542012624,0.960093366823844,-19.7066169066669,0.92746574439905,0.92746574439905,0.0399066331761559,0.968635764626135,0.938255244512857,-28.4420397224066,1.06285647655394,1.06285647655394,0.0617447554871426,0.982286495971292,0.964886760167559,-1.13007179793411,0.905424343182753,0.905424343182753,0.0351132398324407
"Rep ABDC_7",0.773090734284994,0.597669283437312,-54.7915190008557,0.792390094954092,0.792390094954092,0.402330716562688,0.934386364031326,0.873077877287681,-50.6000957280484,1.51765716526041,1.51765716526041,0.126922122712319,0.486260381502055,0.236449158618524,83.9451110697734,0.754241812558237,0.754241812558237,0.763550841381475
"Rep ABDC_8",0.845692811868543,0.715196332046123,-67.9937315750585,0.617982138471943,0.617982138471943,0.284803667953876,0.913240597862169,0.834008389583652,-80.5696241129856,0.786994079614736,0.786994079614736,0.165991610416348,0.874841061909509,0.765346883602957,-8.30608849913867,0.983651636016149,0.983651636016149,0.234653116397042
"Rep BACD_1",0.410147789477134,0.16822120921298,-1.93604087051745,0.414738877481238,0.414738877481238,0.83177879078702,0.521550824613585,0.27201526265511,49.3202859144349,0.532067138472469,0.532067138472469,0.72798473734489,0.964552096239799,0.930360746360591,27.7160839962187,1.43122517024986,1.43122517024986,0.0696392536394078
"Rep BACD_2",0.409490110095009,0.167682150265623,-80.3668252224412,0.383524880161848,0.383524880161848,0.832317849734377,0.964551025937976,0.930358681638003,-80.3706143127587,1.81328774302548,1.81328774302548,0.0696413183619963,0.899828210070697,0.809690807639034,-3.67314468440278,1.10307974309761,1.10307974309761,0.190309192360966
"Rep BACD_3",0.663430565608895,0.440140115384138,-2.48536102248253,0.656349676551868,0.656349676551868,0.559859884615862,0.812675872349962,0.660442073499772,85.4654333941974,0.982251852682103,0.982251852682103,0.339557926500228,0.639096351227536,0.40844414615235,26.9271816581908,0.783571936690252,0.783571936690252,0.59155585384765
"Rep BACD_4",0.875105074516765,0.765808891444993,35.9700389801717,0.785162801179513,0.785162801179513,0.234191108555006,0.931944625185948,0.868520784412977,67.6146789188795,0.864316533879217,0.864316533879217,0.131479215587024,0.469682259467727,0.220601424858709,52.697580820924,0.496749712049565,0.496749712049565,0.779398575141291
"Rep BACD_5",0.968123114353582,0.937262364545679,-22.150046629247,0.91962300178598,0.91962300178598,0.0627376354543204,0.957808596333306,0.917397307209979,-41.4623620157517,0.837337783069901,0.837337783069901,0.0826026927900217,0.983530445758051,0.967332137733031,5.78159052341815,0.881941128465709,0.881941128465709,0.0326678622669684
"Rep BACD_7",0.990255460228482,0.980605876512323,-3.92825555291107,0.912807909430854,0.912807909430854,0.0193941234876774,0.971166030093043,0.943163458006681,-1.03995684175066,0.855635854543389,0.855635854543389,0.0568365419933186,0.967465976699842,0.935990416071779,-4.47551426019111,0.939932725839372,0.939932725839372,0.0640095839282212
