participant,bad_pointing_different,bad_pointing_same,Study,SBSOD,gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,K_Means_Across_All,Model_Building_Average_Within,Education,New_or_Original,MRT
Original_Study1_1149,52.20189756,16.98157436,1,3.933333333,Female, ,0.268546402,0.538508426,0.393022466,1,0.465765446,2,Original,
Original_Study1_1150,53.87004179,35.26898137,1,4.466666667,Female,42,0.109633101,0.038434327,0.415181244,2,0.226807786,2,Original,
Original_Study1_1151,41.92974147,14.04801585,1,3.533333333,Female,51,0.373322079,0.734084351,0.442854344,1,0.588469348,2,Original,
Original_Study1_2001,38.178241,17.31656101,2,5,Female,51,0.663347028,0.709568889,0.956622465,3,0.833095677,2,Original,
Original_Study1_2002,69.59390435,21.92363604,2,4.066666667,Female,41,0.56324389,0.035124491,0.72863753,1,0.381881011,2,Original,
Original_Study1_2003,54.19199469,35.82015963,2,4.466666667,Male,39,0.098029714,0.723537907,0.493367665,2,0.608452786,2,Original,
Original_Study1_2004,46.28096046,32.34245711,2,4.533333333,Female,41,0.298838639,0.44688504,0.452121511,2,0.449503276,2,Original,8
Original_Study1_2005,41.65710667,27.88319832,2,4.533333333,Female,39,0.531357841,0.62166015,0.958527503,1,0.790093827,2,Original,30
Original_Study1_2007,23.18709592,12.60772758,2,5.266666667,Male,53,0.837042291,0.517805015,0.43527121,3,0.476538113,2,Original,66
Original_Study1_2009,47.36405582,24.04290538,2,4.866666667,Female,43,0.472341881,0.942055277,0.857856268,1,0.899955773,2,Original,50
Original_Study1_2010,32.97249988,15.3504804,2,6.2,Female,48,0.873039991,0.963023272,0.922825972,3,0.942924622,2,Original,40
Original_Study1_2011,60.56413537,28.51887679,2,3.4,Female,44,0.123350502,0.548085986,0.562056299,1,0.555071143,2,Original,42
Original_Study1_2012,33.04537871,15.37099407,2,4.066666667,Male,47,0.489499224,0.924412326,0.851212904,3,0.887812615,2,Original,34
Original_Study1_2013,44.89655758,38.83009084,2,3.733333333,Female,43,0.090486547,0.448927291,0.140182458,2,0.294554875,2,Original,
Original_Study1_2014,39.40075315,18.71397832,2,3.666666667,Female,45,0.407055345,0.78680725,0.712180379,3,0.749493815,2,Original,28
Original_Study1_2015,43.39923305,7.186692538,2,6,Female,52,0.858454187,0.664910925,0.517449559,1,0.591180242,2,Original,14
Original_Study1_2016,52.54521643,10.9547886,2,4.2,Male,50,0.019181143,0.846566623,0.26987389,1,0.558220257,2,Original,76
Original_Study1_2017,45.00448883,8.156354759,2,5,Male,52,0.545173167,0.948954784,0.919235935,1,0.93409536,2,Original,30
Original_Study1_2018,60.95663718,30.00691444,2,5.2,Female,40,0.164272358,0.807930573,0.165779921,2,0.486855247,2,Original,42
Original_Study1_2019,62.9584667,39.14231162,2,4.2,Female,41,0.623335464,0.360582628,0.800140196,2,0.580361412,2,Original,
Original_Study1_2021,34.06310722,16.34257279,2,4.6,Male,48,0.147963361,0.640483738,0.082850592,3,0.361667165,2,Original,6
Original_Study1_2022,46.12770337,34.17859178,2,2.466666667,Male,53,0.486415575,0.541963856,0.861127933,2,0.701545895,2,Original,40
Original_Study1_2023,65.97880196,15.94994847,2,3.666666667,Female,49,0.312930195,0.778125231,0.803970196,1,0.791047714,2,Original,12
Original_Study1_2024,59.86098235,37.29024327,2,4.2,Female,42,0.482615262,0.484160291,0.739762879,2,0.611961585,2,Original,4
Original_Study1_2025,12.07163162,7.534126446,2,5.4,Male,46,0.788171606,0.419402225,0.559417979,3,0.489410102,2,Original,46
Original_Study1_2026,27.0339196,14.00235876,2,5.333333333,Male,50,0.915765939,0.754716933,0.690280501,3,0.722498717,2,Original,72
Original_Study1_2027,65.04202062,30.38655084,2,2.4,Female,51,0.221717159,0.941832611,0.877814428,2,0.90982352,2,Original,18
Original_Study1_2028,42.20538625,18.69506599,2,3.8,Male,46,0.579814056,0.811669531,0.961661223,1,0.886665377,2,Original,34
Original_Study1_2029,45.04047131,22.27046557,2,4,Female,45,0.535614777,0.798759998,0.453316008,1,0.626038003,2,Original,6
Original_Study1_2030,28.13067335,12.54988446,2,3.866666667,Male,52,0.838166688,0.391465766,0.995783964,3,0.693624865,2,Original,30
Original_Study1_2031,32.62471506,22.14607922,2,4.666666667,Female,44,0.668704497,0.930403062,0.217813976,3,0.574108519,2,Original,28
Original_Study1_2032,33.0554312,19.55493745,2,4.333333333,Male,51,0.105552861,0.83290741,0.842554828,3,0.837731119,2,Original,8
Original_Study1_2033,51.73098953,43.47165355,2,2.866666667,Male,51,0.227041368,0.474579245,0.383460486,2,0.429019866,2,Original,38
Original_Study1_2034,64.40151429,13.82816769,2,2.933333333,Male,51,0.486514167,0.678695679,0.55826362,1,0.61847965,2,Original,36
Original_Study1_2035,11.14775142,5.117628439,2,5.666666667,Female,49,0.86856736,0.532971806,0.056682408,3,0.294827107,2,Original,66
Original_Study1_2036,55.03744703,19.51401405,2,3.8,Male,45,0.030528756,0.654877454,0.595337504,1,0.625107479,2,Original,30
Original_Study1_2038,48.14145281,15.3332872,2,4.533333333,Female,55,0.423854886,0.817732267,0.91094602,1,0.864339144,2,Original,46
Original_Study1_2039,30.38886762,18.97259755,2,5.4,Female,47,0.672885,0.328637703,0.501946466,3,0.415292085,2,Original,46
Original_Study1_2040,51.05442792,26.36619677,2,3.066666667,Female,48,0.050383915,0.619394704,0.556653322,1,0.588024013,2,Original,20
Original_Study1_2042,28.60892691,8.092534574,2,4.733333333,Male,52,0.775453401,0.684600013,0.787130405,3,0.735865209,2,Original,14
Original_Study1_2043,70.86075566,12.46927172,2,3.8,Female,48,0.43744752,0.59493465,0.76550586,1,0.680220255,2,Original,38
Original_Study1_2044,36.42465919,12.78887156,2,5.2,Male,46,0.72035023,0.719364069,0.941545119,3,0.830454594,2,Original,26
