participant,UUID,date,condition,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
Rep BACD_3,64701dc0-cfce-4508-bf31-7b1436864fde,2020-09-28 07:14:14 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Harris Hall,54,-173.2852643,132.7147357,different,FALSE
Rep BACD_3,64701dc0-cfce-4508-bf31-7b1436864fde,2020-09-28 07:14:14 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Lynch Station,40,-156.2355625,163.7644375,different,FALSE
Rep BACD_3,64701dc0-cfce-4508-bf31-7b1436864fde,2020-09-28 07:14:14 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Batty House,45,-171.0086651,143.9913349,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Harvey House,93,93.19423766,0.194237658,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Lynch Station,-35,-47.32798389,12.32798389,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Sauer Center,0,30.3316951,30.3316951,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Harris Hall,45,37.5286373,7.471362696,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Golledge Hall,18,51.76768154,33.76768154,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Tobler Museum,11,37.30802198,26.30802198,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Batty House,Lynch Station,Snow Church,11,48.19947553,37.19947553,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Golledge Hall,-18,-3.323863738,14.67613626,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Sauer Center,-51,-29.20903342,21.79096658,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Tobler Museum,-27,-17.95076442,9.049235579,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Harvey House,52,48.19593801,3.804061986,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Snow Church,-25,-8.968174613,16.03182539,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Batty House,133,130.6542463,2.345753667,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Lynch Station,Harris Hall,Harris Hall,4,7.021704671,3.021704671,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Batty House,82,83.35216568,1.352165685,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Golledge Hall,-100,-77.71082192,22.28917808,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Tobler Museum,-100,-99.95984558,0.040154418,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Sauer Center,-80,-110.6574336,30.65743363,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Harvey House,23,-2.146796904,25.1467969,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Snow Church,-84,-84.7281122,0.728112203,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harris Hall,Harvey House,Lynch Station,115,114.5627943,0.437205722,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Tobler Museum,64,42.14615863,21.85384137,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Golledge Hall,64,64.9530254,0.953025403,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Snow Church,64,66.19140238,2.191402375,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Sauer Center,64,46.29205396,17.70794604,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Lynch Station,-19,-32.28246429,13.28246429,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Batty House,-50,-46.54689912,3.453100878,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Harvey House,Harris Hall,Harris Hall,18,-4.196894849,22.19689485,same,FALSE
