participant,Participant_UUID_Silcton,Participant_UUID_Silcton_Truncated,pilot,data_share,date,MRT,SBSOD
44,6437645d-9a32-48ee-8ef2-4437967ceeb5,6437645d-9a3,no,TRUE,2020-09-24 16:22:25 UTC,38,3.533333333
45,0866cc9c-f28c-41f9-8360-9bcc40c41259,0866cc9c-f28,no,FALSE,2020-09-24 18:08:03 UTC,36,4.333333333
46,0d244487-427c-4864-811d-d2101947484d,0d244487-427,no,TRUE,2020-09-24 19:11:47 UTC,34,3.733333333
47,cdfccf76-5817-4aab-b168-c61ba14552fb,cdfccf76-581,no,FALSE,2020-09-25 14:07:10 UTC,2,4.266666667
48,7c5b43bf-b206-4c34-8c03-16dddce245bb,7c5b43bf-b20,no,TRUE,2020-09-25 14:50:23 UTC,,
49,72cfe82c-35fc-41a5-83e5-e5bb34af8db1,72cfe82c-35f,no,TRUE,2020-09-25 14:52:54 UTC,,
50,e8e6dd98-81aa-4cb3-bf07-79b711ed2e03,e8e6dd98-81a,no,TRUE,2020-09-25 15:07:13 UTC,28,4.6
51,85de446c-8a08-47d8-919c-4ec9881c9b44,85de446c-8a0,no,TRUE,2020-09-25 15:08:43 UTC,76,4.133333333
52,6396c8da-c288-485a-8062-09a6d471931d,6396c8da-c28,no,TRUE,2020-09-25 17:07:23 UTC,60,4.2
53,4827511f-a2b3-4e9b-b92b-a363756d509c,4827511f-a2b,no,TRUE,2020-09-25 17:12:26 UTC,34,3.666666667
54,0078d5f8-963d-433b-9613-381e56c7c641,0078d5f8-963,no,FALSE,2020-09-25 19:34:25 UTC,0,2.133333333
55,8c2cc2df-2217-4b49-bc83-0bcf7aede3b8,8c2cc2df-221,no,TRUE,2020-09-28 21:17:19 UTC,20,3.4
56,d1009dcc-6823-4bd6-8605-e20a896057c9,d1009dcc-682,no,TRUE,2020-09-29 19:16:53 UTC,20,5
57,57e04bdc-ff99-459e-a476-9dc2e4e8ced5,57e04bdc-ff9,no,FALSE,2020-09-30 14:15:44 UTC,42,4
58,a0505a36-a5f8-48cd-ac1f-450e25236e09,a0505a36-a5f,no,TRUE,2020-09-30 16:06:13 UTC,32,2.933333333
59,6367b514-db46-4e80-a142-9deb4311bf76,6367b514-db4,no,TRUE,2020-09-30 17:14:12 UTC,30,3.4
60,bbedc7c2-3caa-428e-b7ef-fa56023fba70,bbedc7c2-3ca,no,TRUE,2020-09-30 19:07:47 UTC,14,3.333333333
61,712e2f2f-53dc-4b4b-b123-19560997ff3c,712e2f2f-53d,no,TRUE,2020-09-30 19:09:56 UTC,8,4.666666667
62,1de21aa7-3d5d-47f2-9fc7-d42816b9e966,1de21aa7-3d5,no,TRUE,2020-10-01 13:07:57 UTC,56,5.133333333
63,5466222e-a308-4132-9106-400e27dd63fc,5466222e-a30,no,TRUE,2020-10-01 15:06:39 UTC,4,3.066666667
64,fce82786-face-4d67-b5cf-a523e8a4a7b3,fce82786-fac,no,TRUE,2020-10-01 16:09:40 UTC,4,2.133333333
65,2514a7b5-b029-42a2-8012-d742803f543c,2514a7b5-b02,no,TRUE,2020-10-01 17:10:55 UTC,66,4.6
66,e79a8471-63d2-4295-8e8e-4d224f5f26e7,e79a8471-63d,no,TRUE,2020-10-01 18:08:07 UTC,36,4.266666667
67,16ecaaec-3430-40fe-bb25-8fa0c00669b7,16ecaaec-343,yes,FALSE,2020-10-01 18:52:48 UTC,60,4.4
68,e27a456d-d599-49ac-8947-5ef73d6cf5b7,e27a456d-d59,no,TRUE,2020-10-01 19:08:16 UTC,56,3.066666667
69,a5d65712-0aa6-43b4-86dc-1dbbe6261e92,a5d65712-0aa,no,TRUE,2020-10-01 19:22:10 UTC,18,4.6
70,3e6766a3-4c63-43ff-aa13-e40184959bf2,3e6766a3-4c6,no,TRUE,2020-10-02 14:08:30 UTC,-2,5.6
71,f19a4a56-3522-42dd-bb28-16d8d7763cc3,f19a4a56-352,no,TRUE,2020-10-02 16:10:00 UTC,2,4.733333333
72,d2af8f06-6bfe-46f9-ab49-456fb4c801fa,d2af8f06-6bf,no,TRUE,2020-10-02 16:38:36 UTC,22,3.8
73,8052f066-ef47-4360-8cd2-2bcc25820ed6,8052f066-ef4,no,TRUE,2020-10-05 14:04:29 UTC,20,4.2
74,d2bcc8aa-38cf-4417-8fa3-7e7e3cb7c28a,d2bcc8aa-38c,no,TRUE,2020-10-05 19:10:49 UTC,46,3.866666667
75,52bcd577-0855-4db6-bbb1-9849641eb9ae,52bcd577-085,no,TRUE,2020-10-06 17:07:18 UTC,16,4.333333333
76,386349c1-0d89-41c6-b0f0-a148bb4b251b,386349c1-0d8,no,TRUE,2020-10-07 14:00:57 UTC,12,4.733333333
77,b8c531a6-b592-4277-87b2-860f81ccc86c,b8c531a6-b59,no,TRUE,2020-10-07 18:02:38 UTC,14,3.133333333
78,0ac71f1f-1a28-4c3f-9dcb-9cae84b17b8a,0ac71f1f-1a2,no,TRUE,2020-10-08 14:04:46 UTC,26,4.933333333
79,7ba65c70-dbc0-4bd0-a7e4-a6d689d14c89,7ba65c70-dbc,no,TRUE,2020-10-08 16:01:31 UTC,10,3.866666667
80,afaa7e32-6813-42ff-8bd4-68d17075530f,afaa7e32-681,no,TRUE,2020-10-08 16:53:34 UTC,32,4.6
