Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
9/30/2020 13:06,9/30/2020 13:08,100,163,TRUE,9/30/2020 13:08,Temple,62,Male,19,Not Hispanic/Latino,White,,High School,,Left,english,,712e2f2f-53dc-4b4b-b123-19560997ff3c,712e2f2f-53d
9/18/2020 9:10,9/18/2020 9:17,100,466,TRUE,9/18/2020 9:17,Temple,38,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,713e9dca-e17d-44ef-b5a2-a3f41d92be9f,713e9dca-e17
11/24/2020 9:34,11/24/2020 9:40,100,374,TRUE,11/24/2020 9:40,Temple,136,Female,19,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,spanish,10,73cc3358-285f-4f2e-90c0-2fca4281b9f6,73cc3358-285
10/9/2020 12:05,10/9/2020 12:08,100,155,TRUE,10/9/2020 12:08,UF,,Male,20,Not Hispanic/Latino,Asian,,High School,,Right,Hindi,4,782dd814-e549-4bbd-abdd-89b957a37fd4,782dd814-e54
10/8/2020 9:56,10/8/2020 9:58,100,159,TRUE,10/8/2020 9:58,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,7ba65c70-dbc0-4bd0-a7e4-a6d689d14c89,7ba65c70-dbc
10/16/2020 8:07,10/16/2020 8:08,100,99,TRUE,10/16/2020 8:08,UF,,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,7bc64d0c-08fa-410c-beaa-e6e3ad9831fc ,7bc64d0c-08f
9/30/2020 8:05,9/30/2020 8:10,100,331,TRUE,9/30/2020 8:10,Temple,58,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,7c0837cf-a498-4a3d-8a7d-ad28b19b94a7  ,7c0837cf-a49
12/2/2020 8:00,12/2/2020 8:03,100,171,TRUE,12/2/2020 8:03,UF,,Male,19,Hispanic/Latino,White,,High School,,Right,English,,7c15814f-d9ba-4e6f-84ed-5e625443416a,7c15814f-d9b
10/16/2020 8:04,10/16/2020 8:05,100,106,TRUE,10/16/2020 8:05,UF,,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,7d377104-7cb6-4703-badc-6829fbe5e94c,7d377104-7cb
8/5/2020 12:35,8/5/2020 13:51,100,4545,TRUE,8/5/2020 13:51,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,833aa246-fffc-4f3d-bce6-323afd86f5f5,833aa246-fff
10/21/2020 9:59,10/21/2020 10:02,100,172,TRUE,10/21/2020 10:02,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,84949345-3d43-4edf-b863-27cc8e2f4173,84949345-3d4
9/25/2020 9:04,9/25/2020 9:08,100,215,TRUE,9/25/2020 9:08,Temple,0,Female,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,85de446c-8a08-47d8-919c-4ec9881c9b44,85de446c-8a0
