"participant","Participant UUID","Pilot subject?","elected to share data?","age","sex","date","MRT SDT-style","PSAS average","PVAS average","SBSOD average","gender","ethnic category","racial category","education","handedness","first language"
"0081","a2b3a579-b55e-41df-b1e1-21469a6a2498","no","true","","","2020-10-08 18:03:21 UTC","-4","","","2.8666666666666667","","","","","",""
"0082","13673c5a-aaad-4e8c-9dd5-42d34feb16ff","no","true","","","2020-10-08 20:01:49 UTC","54","","","5.0","","","","","",""
"0083","782dd814-e549-4bbd-abdd-89b957a37fd4","no","true","","","2020-10-09 18:09:34 UTC","30","","","5.733333333333333","","","","","",""
"0084","3537167e-74b4-4495-bb0d-83474698babf","no","true","","","2020-10-12 14:09:10 UTC","32","","","5.266666666666667","","","","","",""
"0085","95c2cd96-ff2b-46d2-9f8b-089acf5483cd","no","true","","","2020-10-12 16:08:28 UTC","38","","","4.333333333333333","","","","","",""
"0086","3ff3778d-48c5-4da8-9a2a-90e8db125d22","no","true","","","2020-10-12 18:00:55 UTC","40","","","2.066666666666667","","","","","",""
"0087","6a7aed67-dc50-492a-b244-89543b97d52b","no","true","","","2020-10-13 14:05:05 UTC","56","","","4.533333333333333","","","","","",""
"0088","f567cc0d-e387-4cc8-ab50-ca21c444c747","no","true","","","2020-10-13 19:05:11 UTC","52","","","3.933333333333333","","","","","",""
"0089","9fa9f858-9b15-4d66-9dc3-a70ba7f8a053","no","true","","","2020-10-14 14:03:10 UTC","42","","","4.2","","","","","",""
"0090","c31e2c8f-c2a0-4c97-9b60-34c3dc50a005","no","true","","","2020-10-14 14:12:46 UTC","-14","","","1.2666666666666666","","","","","",""
"0091","df273804-3584-46cc-a97c-ecf19582522f","no","true","","","2020-10-14 16:11:50 UTC","28","","","3.8666666666666667","","","","","",""
"0092","27225966-89dd-4e4f-ba69-6a4b22151d47","no","false","","","2020-10-15 14:06:41 UTC","44","","","3.3333333333333335","","","","","",""
"0093","e1e09cc2-8bbf-402b-a73e-5daea63d971e","no","true","","","2020-10-15 14:11:17 UTC","42","","","4.533333333333333","","","","","",""
"0094","2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170","no","true","","","2020-10-15 16:00:36 UTC","26","","","3.533333333333333","","","","","",""
"0095","c18592c2-5919-4c9a-87b6-a0ece6838db5","no","true","","","2020-10-15 16:12:14 UTC","18","","","2.8","","","","","",""
"0096","662a874f-162b-4d57-871d-252bb5cd03ce","no","true","","","2020-10-15 17:11:16 UTC","26","","","3.6","","","","","",""
"0097","35761d71-27e7-4f63-85a8-2266caa4ab4b","no","true","","","2020-10-15 18:08:56 UTC","8","","","4.133333333333334","","","","","",""
"0098","874e183f-5158-4412-a885-6654a28783aa","no","true","","","2020-10-15 19:36:39 UTC","46","","","2.8666666666666667","","","","","",""
"0099","911cd88f-2341-41b7-8a5b-5c18346455fe","no","true","","","2020-10-16 13:45:15 UTC","54","","","4.466666666666667","","","","","",""
