"participant","date","model number","building","x","y","error"
"0014","2020-07-21 19:16:30 UTC","0","Lynch Station","6","258","134.13426109685773"
"0014","2020-07-21 19:16:30 UTC","0","Golledge Hall","505","343","78.64477096412705"
"0014","2020-07-21 19:16:30 UTC","0","Snow Church","355","206","361.0013850388943"
"0014","2020-07-21 19:16:30 UTC","0","Harvey House","239","445","68.00735254367721"
"0014","2020-07-21 19:16:30 UTC","0","Batty House","84","473","208.92582415776178"
"0014","2020-07-21 19:16:30 UTC","0","Sauer Center","284","38","342.5930530527436"
"0014","2020-07-21 19:16:30 UTC","0","Tobler Museum","14","27","488.3298065856722"
"0014","2020-07-21 19:16:30 UTC","0","Harris Hall","127","148","117.5925167687128"
"0015","2020-07-22 16:09:34 UTC","0","Batty House","66","52","223.43007854807732"
"0015","2020-07-22 16:09:34 UTC","0","Lynch Station","251","12","263.9412813487121"
"0015","2020-07-22 16:09:34 UTC","0","Golledge Hall","621","411","132.84953895290718"
"0015","2020-07-22 16:09:34 UTC","0","Harvey House","45","469","249.51352668743232"
"0015","2020-07-22 16:09:34 UTC","0","Harris Hall","494","43","333.66150512158276"
"0015","2020-07-22 16:09:34 UTC","0","Snow Church","323","469","473.4395420748039"
"0015","2020-07-22 16:09:34 UTC","0","Sauer Center","459","268","311.0064308016797"
"0015","2020-07-22 16:09:34 UTC","0","Tobler Museum","222","298","323.1361941968123"
"0016","2020-07-23 14:07:15 UTC","0","Tobler Museum","422","222","122.64175471673585"
"0016","2020-07-23 14:07:15 UTC","0","Sauer Center","399","47","229.8695282111137"
"0016","2020-07-23 14:07:15 UTC","0","Snow Church","585","67","190.2761151589973"
"0016","2020-07-23 14:07:15 UTC","0","Golledge Hall","637","292","73.00684899377592"
"0016","2020-07-23 14:07:15 UTC","0","Batty House","30","511","239.0188277102873"
"0016","2020-07-23 14:07:15 UTC","0","Lynch Station","24","350","226.3183598385248"
"0016","2020-07-23 14:07:15 UTC","0","Harris Hall","244","319","97.41663102366043"
"0016","2020-07-23 14:07:15 UTC","0","Harvey House","419","433","135.38463723776047"
"0017","2020-07-23 16:17:58 UTC","0","Batty House","75","484","217.3660507070964"
"0017","2020-07-23 16:17:58 UTC","0","Lynch Station","22","295","171.29214809792072"
"0017","2020-07-23 16:17:58 UTC","0","Harris Hall","296","315","120.34118164618461"
"0017","2020-07-23 16:17:58 UTC","0","Harvey House","431","457","139.83204210766573"
"0017","2020-07-23 16:17:58 UTC","0","Golledge Hall","555","200","91.44397191723465"
"0017","2020-07-23 16:17:58 UTC","0","Snow Church","477","37","292.138665705175"
"0017","2020-07-23 16:17:58 UTC","0","Sauer Center","241","32","384.94804844290354"
"0017","2020-07-23 16:17:58 UTC","0","Tobler Museum","319","161","178.31713322056297"
"0018","2020-07-23 17:16:30 UTC","0","Batty House","57","453","183.4693434882242"
"0018","2020-07-23 17:16:30 UTC","0","Lynch Station","66","311","194.64069461446135"
"0018","2020-07-23 17:16:30 UTC","0","Harris Hall","271","284","80.62257748298549"
"0018","2020-07-23 17:16:30 UTC","0","Harvey House","402","469","109.17875251164945"
"0018","2020-07-23 17:16:30 UTC","0","Golledge Hall","592","304","30.870698080866262"
"0018","2020-07-23 17:16:30 UTC","0","Snow Church","677","152","65.80273550544841"
