participant,date,condition,model number,building,x,y,error
Rep BADC_8,2020-10-06 22:47:54 UTC,,0,Batty House,570,65,581.1178882
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Snow Church,671,361,162.3607095
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Sauer Center,540,170,185.6071119
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Golledge Hall,535,472,183.3084832
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Tobler Museum,378,295,207.7354086
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Harvey House,52,479,242.0743687
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Batty House,44,200,73.97972695
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Harris Hall,220,306,80.15609771
Rep BADC_9,2020-10-07 02:13:14 UTC,,0,Lynch Station,70,126,58.03447251
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Golledge Hall,626,266,66.85057965
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Snow Church,603,429,250.8884214
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Sauer Center,307,435,534.8121165
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Tobler Museum,212,257,311.746692
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Batty House,491,15,530.4196452
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Lynch Station,458,93,447.0760562
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Harvey House,343,128,360.3470549
Rep BADC_10,2020-10-11 06:44:20 UTC,,0,Harris Hall,463,312,262.488095
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Golledge Hall,342,300,222.1823575
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Tobler Museum,633,469,374.1777652
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Sauer Center,219,466,614.2939036
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Snow Church,32,338,696.8105912
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Harvey House,203,-1,494.4461548
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Batty House,738,85,735.18025
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Harris Hall,341,143,150.8807476
Rep BADC_11,2020-10-19 23:34:41 UTC,,0,Lynch Station,605,197,597.4763594
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Batty House,90,513,249.0983741
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Lynch Station,49,321,200.444506
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Harris Hall,284,365,155.183762
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Harvey House,428,342,195.9719368
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Golledge Hall,232,188,347.6104141
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Snow Church,385,87,351.4043255
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Sauer Center,221,4,404.0012376
Rev PILOT_1,2020-08-23 02:03:51 UTC,,0,Tobler Museum,24,92,469.9585088
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Harvey House,694,21,612.614071
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Harris Hall,456,21,316.3953223
