"participant","date","total score","average score","q1 (should be reverse coded)","q2","q3 (should be reverse coded)","q4 (should be reverse coded)","q5 (should be reverse coded)","q6","q7 (should be reverse coded)","q8","q9 (should be reverse coded)","q10","q11","q12","q13","q14 (should be reverse coded)","q15"
"0112","2020-10-23 15:09:40 UTC","68","4.533333333333333","3","5","2","3","7","3","5","5","3","3","7","7","2","2","5"
"0113","2020-10-23 17:12:51 UTC","73","4.866666666666666","5","4","5","2","4","6","4","6","5","5","5","6","5","1","6"
"0114","2020-10-26 16:05:42 UTC","83","5.533333333333333","1","6","2","1","1","3","2","6","4","6","6","5","3","2","5"
"0115","2020-10-27 17:06:36 UTC","81","5.4","2","7","5","2","7","7","7","7","6","7","7","7","7","2","7"
"0116","2020-10-27 19:05:04 UTC","43","2.8666666666666667","3","2","7","7","7","1","5","2","6","6","1","6","1","3","6"
"0117","2020-10-27 21:14:19 UTC","84","5.6","2","5","3","1","4","5","5","6","3","7","6","7","6","3","7"
"0118","2020-10-28 13:37:38 UTC","73","4.866666666666666","2","3","3","3","4","5","3","5","4","5","5","6","4","2","5"
"0119","2020-10-29 16:11:10 UTC","44","2.933333333333333","4","5","4","6","7","1","7","6","4","2","4","6","1","7","2"
"0120","2020-10-30 15:38:50 UTC","81","5.4","3","4","2","2","5","6","4","7","3","6","6","7","4","2","6"
"0121","2020-11-02 16:10:46 UTC","70","4.666666666666667","2","5","2","1","6","5","5","2","5","7","2","7","7","1","1"
"0122","2020-11-03 15:19:27 UTC","71","4.733333333333333","3","6","3","2","7","2","6","6","3","6","2","7","6","2","6"
"0123","2020-11-05 15:15:06 UTC","73","4.866666666666666","3","4","2","1","6","4","3","6","4","6","4","2","5","1","6"
"0124","2020-11-05 18:29:13 UTC","79","5.266666666666667","2","5","3","4","1","6","3","6","4","5","5","6","4","3","6"
"0125","2020-11-05 21:03:10 UTC","55","3.6666666666666665","5","1","3","4","7","3","6","4","5","6","6","6","2","5","6"
