participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Harris Hall,9,176.2022806,167.2022806,different
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Harvey House,5,139.9309368,134.9309368,different
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Batty House,5,173.5694617,168.5694617,different
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Snow Church,1,1.204134401,0.204134401,same
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Golledge Hall,126,125.8431145,0.15688545,same
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Tobler Museum,62,63.69277617,1.692776166,same
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Harvey House,113,119.6929579,6.69295786,different
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Sauer Center,0,0.279262352,0.279262352,same
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Harris Hall,136,88.09346154,47.90653846,different
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Lynch Station,116,79.44851915,36.55148085,different
1002,9/10/2013 7:26,0,Snow Church,Sauer Center,Batty House,114,90.64700942,23.35299058,different
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Harris Hall,104,4.240040564,99.75995944,different
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Batty House,122,6.744508622,115.2554914,different
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Tobler Museum,1,2.713388186,1.713388186,same
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Snow Church,88,89.63525726,1.635257259,same
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Lynch Station,138,17.76205492,120.2379451,different
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Golledge Hall,108,51.85616181,56.14383819,same
1002,9/10/2013 7:26,0,Sauer Center,Tobler Museum,Harvey House,133,23.09134403,109.908656,different
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Harvey House,102,147.248191,45.248191,different
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Harris Hall,51,173.2852643,122.2852643,different
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Batty House,30,171.0086651,141.0086651,different
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Lynch Station,22,156.2355625,134.2355625,different
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Snow Church,44,38.78279809,5.217201914,same
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Sauer Center,3,20.69981416,17.69981416,same
1002,9/10/2013 7:26,0,Tobler Museum,Sauer Center,Golledge Hall,75,67.30353066,7.69646934,same
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Tobler Museum,10,37.30802198,27.30802198,different
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Golledge Hall,157,51.76768154,105.2323185,different
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Lynch Station,24,47.32798389,23.32798389,same
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Snow Church,144,48.19947553,95.80052447,different
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Sauer Center,167,30.3316951,136.6683049,different
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Harvey House,14,93.19423766,79.19423766,same
1003,10/7/2015 12:10,0,Batty House,Lynch Station,Harris Hall,2,37.5286373,35.5286373,same
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Harvey House,59,48.19593801,10.80406199,same
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Snow Church,108,8.968174613,99.03182539,different
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Sauer Center,117,29.20903342,87.79096658,different
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Tobler Museum,79,17.95076442,61.04923558,different
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Harris Hall,45,7.021704671,37.97829533,same
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Batty House,133,130.6542463,2.345753667,same
1003,10/7/2015 12:10,0,Lynch Station,Harris Hall,Golledge Hall,123,3.323863738,119.6761363,different
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Harvey House,41,2.146796904,38.8532031,same
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Snow Church,106,84.7281122,21.2718878,different
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Tobler Museum,135,99.95984558,35.04015442,different
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Batty House,41,83.35216568,42.35216568,same
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Lynch Station,44,114.5627943,70.56279428,same
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Sauer Center,164,110.6574336,53.34256637,different
1003,10/7/2015 12:10,0,Harris Hall,Harvey House,Golledge Hall,139,77.71082192,61.28917808,different
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Batty House,132,46.54689912,85.45310088,same
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Snow Church,75,66.19140238,8.808597625,different
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Tobler Museum,45,42.14615863,2.853841373,different
